rule_id,observable,executable,trigger_count,assessable_count,not_assessable_count,trigger_rate_among_assessable_pct,source_evidence_grade,limitations
PSY_AR_EYES_WIDE_001,wide_eyes,False,,,,,Weak / mixed,"Children's facial-expression drawings research; general projective tradition. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_EYES_STERN_002,stern_eyes,False,,,,,Weak / mixed,"General emotion-symbol heuristics. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_EYES_CLOSED_003,closed_eyes,False,,,,,Speculative,"No strong standard reference found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_ANIMAL_TIGER_WOLF_004,tiger_or_wolf,False,,,,,Speculative,"No fixed universal rule found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_ANIMAL_FOX_005,fox,False,,,,,Speculative,"No fixed universal rule found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_ANIMAL_SQUIRREL_006,squirrel,False,,,,,Speculative,"No fixed universal rule found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_ANIMAL_LION_007,lion,False,,,,,Speculative,"No fixed universal rule found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_GEOMETRY_008,repeated_geometric_shapes,False,,,,,Speculative,"Projective tradition, weak support. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_STARS_009,stars,False,,,,,Speculative,"No strong standard reference found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_FLOWERS_CLOUDS_SUN_010,flowers_clouds_sun,False,,,,,Speculative,"No fixed rule; depends heavily on context. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_CIRCLES_011,circles,False,,,,,Speculative,"Common heuristic, not standardized. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_TRANSPORT_012,vehicles,False,,,,,Speculative,"No strong literature basis found. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_HEARTS_013,hearts,False,,,,,Weak / common-sense,"Symbolic meaning is culturally obvious, not psychometric. (allowed_output_level=disabled -- no evaluator wired, never run)"
PSY_AR_SIZE_HALF_014,coverage_about_half,True,5,31,168,16.13,Speculative,No standardized cutoff.
PSY_AR_SIZE_FULL_015,coverage_full,True,8,31,168,25.81,Weak / mixed,Page occupation is a common projective heuristic.
