rule_id,observable,proposed_tier,wired_to_real_feature,detector_required,detector_exists,current_runtime_status,can_ever_fire_today,activation_status,notes
PSY_AR_EYES_WIDE_001,wide_eyes,Tier 2 (content-conditional; requires positive face/eye detection),no,face/eye detector,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No face or eye detector exists anywhere in src/doar. Falls through _status_for() default branch unconditionally.
PSY_AR_EYES_STERN_002,stern_eyes,Tier 2,no,face/eye detector + expression classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,Same as above; also requires an expression classifier that does not exist.
PSY_AR_EYES_CLOSED_003,closed_eyes,Tier 2,no,face/eye detector,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,Same as above.
PSY_AR_ANIMAL_TIGER_WOLF_004,tiger_or_wolf,Tier 2,no,animal-species classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No object/animal detector exists in the codebase (detections.json explicitly reports unavailable).
PSY_AR_ANIMAL_FOX_005,fox,Tier 2,no,animal-species classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,Same as above.
PSY_AR_ANIMAL_SQUIRREL_006,squirrel,Tier 2,no,animal-species classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,Same as above.
PSY_AR_ANIMAL_LION_007,lion,Tier 2,no,animal-species classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,Same as above.
PSY_AR_GEOMETRY_008,repeated_geometric_shapes,Tier 1/2 boundary (shape counting is prompt-independent; interpretation is content-conditional),no,shape/contour detector,partial (contour_proxy_count exists; enclosed_shape_count/repetition_score are NaN by design),missing_detector (always),no,DETECTOR_UNAVAILABLE,features.py computes stroke.fragmentation and shape.contour_proxy_count from connected components but explicitly marks shape.enclosed_shape_count and shape.repetition_score NaN (no true shape/geometry classifier).
PSY_AR_STARS_009,stars,Tier 2,no,symbol classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No symbol detector exists.
PSY_AR_FLOWERS_CLOUDS_SUN_010,flowers_clouds_sun,Tier 2,no,symbol classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No symbol detector exists.
PSY_AR_CIRCLES_011,circles,Tier 2,no,shape classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No shape classifier exists.
PSY_AR_TRANSPORT_012,vehicles,Tier 2,no,object classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No object detector exists.
PSY_AR_HEARTS_013,hearts,Tier 2,no,symbol classifier,no,missing_detector (always),no,DETECTOR_UNAVAILABLE,No symbol detector exists.
PSY_AR_SIZE_HALF_014,coverage_about_half,Tier 1 (page geometry; prompt-independent),yes,none (uses existing segmentation/composition pipeline),yes,weak_support when 0.40<=bbox_coverage<=0.60,yes,IMPLEMENTED_UNVALIDATED,Wired to composition.bounding_box_coverage in rules.py::_status_for(). Detector (segmentation) exists but thresholds are not clinically validated on real data.
PSY_AR_SIZE_FULL_015,coverage_full,Tier 1,yes,none,yes,weak_support when bbox_coverage>=0.90,yes,IMPLEMENTED_UNVALIDATED,Same wiring as above; threshold >=0.90.
PSY_AR_SIZE_SMALL_016,coverage_small,Tier 1,yes,none,yes,weak_support when 0<bbox_coverage<=0.20,yes,IMPLEMENTED_UNVALIDATED,Same wiring as above; threshold <=0.20.
PSY_AR_PLACE_TOP_017,placement_top,Tier 1,yes,none,yes,weak_support when composition.placement contains 'top',yes,IMPLEMENTED_UNVALIDATED,Wired to composition.placement (centroid-derived). Placement is 'unavailable' -> not_evaluated when segmentation fails.
PSY_AR_PLACE_LEFT_018,placement_left,Tier 1,yes,none,yes,weak_support when composition.placement contains 'left',yes,IMPLEMENTED_UNVALIDATED,Same wiring as above.
PSY_AR_PLACE_RIGHT_019,placement_right,Tier 1,yes,none,yes,weak_support when composition.placement contains 'right',yes,IMPLEMENTED_UNVALIDATED,Same wiring as above.
(concern_converged_001),multi-rule convergence (not a registry rule; engine-level),n/a,partial,none beyond existing rules,n/a,CONCERNS_ENABLED=False -> always []; even if enabled, source_type tagging bug makes convergence unreachable,no,IMPLEMENTED_UNVALIDATED (and currently unreachable),See CURRENT_STATE_AUDIT.md Section 5.3 for the two independent reasons this can never fire today.
