image_id,observation_id,observer_label,observer_alternative_labels,observer_bbox,observer_bbox_area,observer_bbox_valid,observer_confidence,observer_entity_type,verifier_independent_label,verifier_independent_alternative_labels,verifier_confidence,verification_status,verifier_notes,matches_a1,a1_matching_labels,a1_salient,matches_a2,a2_matching_labels,a2_salient,bucket_a1,bucket_a2,heuristic_failure_category
h38,h38_c00,sun,sun drawing; yellow sun,"[0.0, 0.0, 0.24, 0.292]",0.07008,True,0.98,object,sun,drawing of a sun; yellow sun,0.99,verified,"Independent verifier observation: 'sun' (alternatives: ['drawing of a sun', 'yellow sun'])",True,Sun with rays,True,True,sun,True,1_true_kept_verified,1_true_kept_verified,
h38,h38_c01,cloud,blue cloud; sky cloud,"[0.292, 0.058, 0.2, 0.116]",0.0232,True,0.95,object,cloud,water; smoke; sky,0.95,verified,"Independent verifier observation: 'cloud' (alternatives: ['water', 'smoke', 'sky'])",True,2 clouds,True,True,clouds,True,1_true_kept_verified,1_true_kept_verified,
h38,h38_c02,cloud,blue cloud; sky cloud,"[0.612, 0.056, 0.207, 0.108]",0.02236,True,0.95,object,cloud,smoke; water; wave,0.8,verified,"Independent verifier observation: 'cloud' (alternatives: ['smoke', 'water', 'wave'])",True,2 clouds,True,True,clouds,True,1_true_kept_verified,1_true_kept_verified,
h38,h38_c03,butterfly,drawn butterfly; purple butterfly,"[0.123, 0.298, 0.082, 0.138]",0.01132,True,0.94,object,butterfly,insect; drawing of a butterfly,0.98,verified,"Independent verifier observation: 'butterfly' (alternatives: ['insect', 'drawing of a butterfly'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
h38,h38_c04,butterfly,red butterfly; drawn butterfly,"[0.312, 0.21, 0.081, 0.132]",0.01069,True,0.94,object,butterfly,insect; moth; drawing,0.95,verified,"Independent verifier observation: 'butterfly' (alternatives: ['insect', 'moth', 'drawing'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
h38,h38_c05,butterfly,large butterfly; pink butterfly,"[0.463, 0.174, 0.132, 0.188]",0.02482,True,0.96,object,butterfly,insect; drawing; sketch,0.99,verified,"Independent verifier observation: 'butterfly' (alternatives: ['insect', 'drawing', 'sketch'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
h38,h38_c06,butterfly,yellow butterfly; small butterfly,"[0.653, 0.21, 0.08, 0.122]",0.00976,True,0.93,object,butterfly,insect; drawing of a butterfly,0.95,verified,"Independent verifier observation: 'butterfly' (alternatives: ['insect', 'drawing of a butterfly'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
h38,h38_c07,butterfly,blue butterfly; small butterfly,"[0.51, 0.394, 0.063, 0.112]",0.00706,True,0.93,object,butterfly,insect; moth,0.95,verified,"Independent verifier observation: 'butterfly' (alternatives: ['insect', 'moth'])",False,,,False,,,4_false_kept_verified,4_false_kept_verified,
h38,h38_c08,traffic light,stoplight; traffic signal,"[0.88, 0.302, 0.083, 0.598]",0.04963,True,0.97,object,traffic light,traffic signal; stoplight,1.0,verified,"Independent verifier observation: 'traffic light' (alternatives: ['traffic signal', 'stoplight'])",True,traffic light,True,True,Traffic light,True,1_true_kept_verified,1_true_kept_verified,
h38,h38_c09,car,yellow car; toy car; automobile,"[0.82, 0.344, 0.535, 0.598]",0.31993,True,0.98,object,,,,unreviewed,Bbox present but a crop could not be produced from this image -- not guessed.,True,car; 2 girls inside car; red hearts on car,True,True,Car,True,2_true_removed,2_true_removed,no_bbox_never_reviewed
