case_id,cohort_role,matched_rules_before,matched_rules_after,disabled_rules_removed,n_matched_before,n_matched_after,n_disabled_removed,n_literature_associations_before,n_literature_associations_after,domains_touched_before,domains_touched_after,overall_synthesis_level_before,overall_synthesis_level_after,overall_synthesis_level_changed,n_candidate_hypotheses_before,n_candidate_hypotheses_after,candidate_hypotheses_changed,case_affected_by_fix
h38,e6_pilot_original_15,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_LINE_LIGHT_PRESSURE_031,,1,1,0,1,1,anxiety_or_stress_related,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,False
p2b_0001,e6_pilot_original_15,EN_COMPILED_HOUSE_023;EN_COMPILED_LINE_LIGHT_PRESSURE_031;PSY_AR_GEOMETRY_008,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_HOUSE_023;PSY_AR_GEOMETRY_008,3,1,2,3,1,anxiety_or_stress_related;developmental_or_attention_related;neutral_descriptive_only_no_construct_proposed,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,True
p2b_0002,e6_pilot_original_15,EN_COMPILED_TREE_024,,EN_COMPILED_TREE_024,1,0,1,1,0,neutral_descriptive_only_no_construct_proposed,,descriptive_only,insufficient_interpretable_evidence,True,0,0,False,True
p2b_0003,e6_pilot_original_15,EN_COMPILED_FACE_EXPRESSION_021,,EN_COMPILED_FACE_EXPRESSION_021,1,0,1,1,0,depressive_or_low_mood_related,,limited_association,insufficient_interpretable_evidence,True,0,0,False,True
p2b_0004,e6_pilot_original_15,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_LINE_LIGHT_PRESSURE_031,,1,1,0,1,1,anxiety_or_stress_related,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,False
p2b_0005,e6_pilot_original_15,EN_COMPILED_LINE_HEAVY_PRESSURE_030;PSY_AR_GEOMETRY_008,EN_COMPILED_LINE_HEAVY_PRESSURE_030,PSY_AR_GEOMETRY_008,2,1,1,2,1,aggression_or_threat_related;developmental_or_attention_related,aggression_or_threat_related,limited_association,limited_association,False,0,0,False,True
p2b_0012,e6_pilot_original_15,EN_COMPILED_LINE_HEAVY_PRESSURE_030;EN_COMPILED_TREE_024,EN_COMPILED_LINE_HEAVY_PRESSURE_030,EN_COMPILED_TREE_024,2,1,1,2,1,aggression_or_threat_related;neutral_descriptive_only_no_construct_proposed,aggression_or_threat_related,limited_association,limited_association,False,0,0,False,True
p2b_0019,e6_pilot_original_15,EN_COMPILED_HOUSE_023;PSY_AR_CIRCLES_011,,EN_COMPILED_HOUSE_023;PSY_AR_CIRCLES_011,2,0,2,2,0,neutral_descriptive_only_no_construct_proposed;social_withdrawal_related,,limited_association,insufficient_interpretable_evidence,True,0,0,False,True
p2b_0026,e6_pilot_original_15,EN_COMPILED_LINE_LIGHT_PRESSURE_031,EN_COMPILED_LINE_LIGHT_PRESSURE_031,,1,1,0,1,1,anxiety_or_stress_related,anxiety_or_stress_related,limited_association,limited_association,False,0,0,False,False
p2b_0033,e6_pilot_original_15,EN_COMPILED_FACE_EXPRESSION_021,,EN_COMPILED_FACE_EXPRESSION_021,1,0,1,1,0,depressive_or_low_mood_related,,limited_association,insufficient_interpretable_evidence,True,0,0,False,True
