candidate_id,citation,exact_measurable_visual_feature,target_interpretation_or_construct,population_ages_n_protocol,spontaneous_or_instructed,evidence_supporting,evidence_contradicting,effect_size_reliability_or_diagnostic_accuracy,alternative_explanations,detector_measurement_requirements,applicability_to_doar,maximum_safe_interpretation,recommendation,verification_status
LIT_COLOUR_EMOTION_001,"Burkitt-type study, 'Children's colour use to portray themselves and others with happy, sad and mixed emotion', Educational Psychology 34(2), 2014, DOI 10.1080/01443410.2013.785059; contrasted with a separate study finding colour choice does not reliably reflect emotional content ('Does Children's Colour Use Reflect the Emotional Content of their Drawings?')",Proportion/dominant category of warm vs. cool/dull colours used for a figure or scene,Represented emotional valence (happy/sad/mixed) of the depicted figure,"N=180 (90 girls, 90 boys), ages 4y11m-8y1m; INSTRUCTED task -- children told which emotion to portray",Instructed,"Children used colours differentially across drawing types; red/blue used differentially for mixed-emotion depictions; broader literature reports warm colours associated with positive feelings, dull/black/blue with negative","A separate empirical study found children's colour choices do NOT reliably reflect emotional content -- colour PREFERENCE dominates regardless of emotional context. Direct contradiction, not a minor caveat.",Not precisely quantified from available abstracts/snippets; full-text retrieval would be needed for exact statistics. Treat as unquantified pending that retrieval.,Stable colour preference independent of emotion; available materials/palette; cultural convention; task demand characteristics from being told which emotion to draw,NONE NEW -- DOAR's features.py already computes colour_proportions and dominant_colour,"Feature already measurable without new detector work, but underlying studies are INSTRUCTED-task, and the literature is directly self-contradictory on whether the relationship exists at all in any protocol","None justified as an operational rule given direct contradiction in the literature itself; at most, 'colour choice research is mixed and inconclusive' as a limitations note",CONFLICTING,Web search summaries only; exact statistics not retrieved from full text this session
LIT_PENCIL_PRESSURE_002,"LaRoque & Obrzut, 'Pencil Pressure and Anxiety in Drawings: A Techno-Projective Approach', Journal of Psychoeducational Assessment, 2006, DOI/URL: journals.sagepub.com/doi/10.1177/0734282906288520","Physical pencil/stylus pressure (force) applied during drawing, measured via a pressure-sensitive digitizing tablet at capture time",Trait and state anxiety,"Ages 6-11; pressure-sensitive palette; INSTRUCTED tasks: Draw-A-Person, Bender Visual-Motor Gestalt Test, drawing an automobile. Exact N not confirmed from available summary.",Instructed,"Higher trait anxiety -> significantly LESS pencil pressure across all 3 tasks. State anxiety showed a curvilinear relationship: both high AND low state anxiety produced MORE pressure than medium state anxiety -- a non-monotonic finding, not a simple linear one.",General literature on drawing-based assessment techniques (not this study specifically) raises 'substantial doubts about reliability and validity'; lack of standardized empirical scoring methods across the field,Not precisely quantified from available summary; full-text retrieval needed,Drawing instrument/paper/tablet texture; fine-motor development (strongly age-correlated); fatigue; task engagement/effort,"The VALIDATED measurement (physical pressure via digitizer) is NOT recoverable from a static scanned/photographed image after the fact -- DOAR only ever receives a final flattened image, never capture-time pressure data. Only an indirect, unvalidated proxy (ink/graphite darkness, stroke-width variability) is available from static images.",LOW -- the specific validated construct (digitizer pressure) is structurally unmeasurable from DOAR's input format. DOAR's existing stroke.intensity_proxy is NOT the same construct as this literature validates and must not be presented as if it were.,"None currently justified; if ever explored, must be labeled explicitly as an unvalidated proxy for a different, unmeasurable construct",INAPPLICABLE,Web search summary only; exact N and effect sizes not retrieved from full text this session
LIT_HFD_KOPPITZ_INDICATORS_003,"Koppitz emotional-indicator system for Human Figure Drawings (widely studied; summarized via multiple secondary sources this session, primary Koppitz text not directly retrieved)","Composite count of ~30 discrete HFD signs: omissions (body parts), distortions, size anomalies, shading, asymmetry, etc.","General emotional/behavioural disturbance, grouped into impulsivity, insecurity, anxiety, shyness, aggression categories","Multiple studies, general child/adolescent clinical and community samples; INSTRUCTED (Draw-A-Person)",Instructed,"Severely disturbed children's drawings showed HIGHER indicator counts than matched controls -- a real, replicated finding at the severe end of the distribution","The same indicators 'failed to differentiate between clinical and normally-adjusted children's drawings on AVERAGE scores' -- i.e. does not work as a general clinical-vs-typical discriminator, only shows signal for severe cases","Goodenough-Harris DEVELOPMENTAL/cognitive-maturity scoring (a different construct) reports reliability >=.90; this does not transfer to the emotional-indicator system's validity, which remains disputed per the sources above","Developmental/fine-motor immaturity produces many of the same 'indicators' (omissions, distortions) independent of emotional state -- a well-documented confound in this literature","A full human-figure part-presence/distortion detector -- substantially beyond anything in DOAR's current Phase 3 scope (would need per-body-part keypoint/presence detection, size-anomaly measurement relative to a body-proportion norm, shading measurement per region)",Theoretically Tier-2-adjacent (content-conditional on a person being drawn) but far beyond current detector roadmap; no existing DOAR rule attempts this composite-count structure,"At most: 'an unusually high count of these signs together may relate to severe disturbance in instructed DAP contexts; not established for typical variation, not established for spontaneous drawing, confounded by motor/developmental factors'",RESEARCH-ONLY,Secondary-source summaries only; primary Koppitz texts and the specific studies behind these claims were not directly retrieved this session
LIT_HFD_DEPRESSION_ADULT_004,"'The Application of Human Figure Drawing as a Supplementary Tool for Depression Screening', PMC9204051 -- fetched and read directly this session",Figure size; omitted hands/eyes/nose/feet/eyebrows; shaded hair/eyebrows/nose/mouth/eyes; detail level of clothes/accessories/limbs/facial features/personal belongings (17 features total),Major depressive disorder,"Clinical N=113, mean age 31.04 (SD 17.57), 70.8% female, clinically diagnosed MDD; Control N=97, mean age 18.46 (SD 0.87), 70.1% male, college students SDS<50. INSTRUCTED: 'draw a complete person with a pencil on A4 paper', no time limit.",Instructed,"Small size: chi2=10.060, p=.002, r=.159 with SDS score (weak). Hands omitted: chi2=6.605, p=.010. Detailed clothes: chi2=16.723, p<.001, OR=6.849, r=-.183 (more detail associated with LOWER depression). Personal belongings: chi2=28.854, p<.001, OR=6.274, r=-.219. Shaded eyes: OR=0.278, p=.034 in logistic regression (protective direction, i.e. opposite of the naive 'shading=distress' folk claim).","Shaded eyes was significant by logistic regression (p=.034) but NOT significant by ROC/AUC analysis (AUC=0.543, p=.285) -- internally inconsistent across statistical methods for the SAME feature, a fragility flag. Eyes/nose omission, left-sided placement, shaded mouth, and accessory detail were all non-significant. Best AUCs (detailed clothes 0.627, personal belongings 0.637) are only modestly above chance (0.5).",Nagelkerke R^2=0.641 for the full logistic model (not per-feature); best single-feature AUCs 0.62-0.64; authors explicitly state 'sensitivity of HFD is relatively low' and recommend the test be 'considered as a whole instead of focusing on' single features,Authors note small sample size and no test-retest reliability assessment (cross-sectional design); age/gender were controlled for in regression but the two groups still differ hugely in mean age (31 vs 18.5) raising residual confounding concern,"Figure-size measurement (plausibly reuse existing bbox-coverage-style features); hand-omission detection (needs body-part/keypoint detector, not yet built); eye-shading measurement (needs face/eye localization + local shading intensity, not yet built)","BLOCKED on two independent grounds: (1) population is ADULTS (mean ages 31 and 18.5), not children -- DOAR analyses children's drawings; (2) protocol is INSTRUCTED Draw-A-Person, not spontaneous free drawing. Neither the construct (adult MDD) nor the protocol match DOAR's scope.","None for DOAR directly. Useful only as general context: even in a well-controlled, well-reported instructed-adult study, single HFD features show modest and sometimes internally-inconsistent associations -- reinforcing why DOAR's existing confidence ceilings (0.05-0.25) are appropriately conservative.",INAPPLICABLE,"VERIFIED -- full text read directly via PMC this session, statistics quoted from the source"
LIT_SELFESTEEM_METHOD_RELIABILITY_005,"Davis-Kean & Sandler, 'A Meta-Analysis of Measures of Self-Esteem for Young Children: A Framework for Future Measures', PubMed 11405589","N/A -- this is a meta-analysis of ASSESSMENT METHODS (questionnaire vs. drawing-based vs. other), not a specific visual feature","Self-esteem measurement reliability, compared across method types",Meta-analysis aggregating multiple young-children self-esteem studies; not a single primary sample,N/A (methodological meta-analysis),"Questionnaire-based self-esteem measures were found MORE reliable than measures using drawings or other tools as aids -- a direct, general caution against drawing-based self-esteem inference from a meta-analytic source",None found contradicting this specific meta-analytic conclusion in this search pass,"Reliability found to be predicted by study setting, scale item count, child age, data-collection method, and SES -- drawing-based collection was one method among several found less reliable, exact reliability coefficients not retrieved from full text this session","N/A -- this is itself a methodological finding, not a claim requiring alternative explanation","None -- this is a citation to strengthen an existing rule's documented limitations, not a new detector target","Directly reinforces the EXISTING rule PSY_AR_SIZE_FULL_015 (coverage_full -> 'high self-esteem'), which is already flagged not_found_for_threshold_claim. This meta-analysis is additional, general supporting evidence for that existing scepticism, not a new rule.","Strengthens the case that PSY_AR_SIZE_FULL_015's confidence ceiling (0.15) should stay low or be reconsidered downward, never raised","RESEARCH-ONLY (reinforcing citation for an existing rule, not a new operational candidate)",Web search summary only; exact reliability coefficients not retrieved from full text this session
LIT_DEVELOPMENTAL_STAGE_OBJECTIVE_006,"'Quantifying developmental and individual differences in spontaneous drawing completion among children', PMC9697182 -- fetched and read directly this session",Proportion of representational vs. scribble content; CNN-extracted hierarchical visual features measuring adaptation to a partial stimulus,NONE PSYCHOLOGICAL -- purely developmental/maturational drawing-skill stage. Explicitly NOT proposed as an emotional or diagnostic indicator.,"N=104 children (62M/42F), 621 drawings, ages 2y1m-8y3m; plus 107 drawings from 5 adults for comparison. NOT free drawing -- a structured 'drawing completion' paradigm: children complete a partially-drawn stimulus (outline-only / inner-features-shown / scrambled-inner-features), across 4 object categories (face, house, car, human figure).",NEITHER purely spontaneous nor verbally instructed -- a stimulus-completion paradigm distinct from both DOAR's free-drawing definition and standard instructed prompts. The paper's own title uses 'spontaneous' loosely; this must not be read as validating DOAR's specific free-drawing (no stimulus at all) context.,"With increasing age, children exhibit more representational drawings and less scribbling (p<.001) -- a robust, expected, unconflicted developmental finding. Older children adapted their drawings more similarly to adults than younger children did.","No correlation between drawing behaviour and autistic traits (AQ scores) was found in this sample -- a null result reported honestly by the authors, not evidence against the age-finding itself","p<.001 for the age/representational-content relationship; authors note relatively small sample despite exceeding prior studies, and low AQ-score variability limiting the null-result's power","Fine-motor development, task familiarity/practice, and general cognitive maturation all plausibly co-vary with age alongside representational drawing ability","UNVALIDATED HYPOTHESIS, not an established fact: the source study computed its representational-vs-scribble measure using CNN-EXTRACTED features on a stimulus-completion task, not DOAR's classical handcrafted connected-component/stroke/fragmentation features on unrestricted free drawings. Whether DOAR's EXISTING features.py measures capture the same construct at all has NOT been tested. This would need its own DOAR-specific pilot -- comparable in kind to any other detector pilot in DETECTOR_DEPENDENCY_MATRIX.csv, not a shortcut around one.","PARTIALLY UNVALIDATED. What IS supported: the underlying developmental phenomenon (representational content increases, scribbling decreases, with age) is robust and uncontested (p<.001) IN THE SOURCE STUDY'S population and protocol. What is NOT supported and must not be implied: that this transfers to (a) DOAR's classical handcrafted features specifically (the source used CNN features), or (b) genuinely unrestricted free drawing (the source used a stimulus-COMPLETION paradigm, not free drawing -- see spontaneous_or_instructed). Both are open questions requiring a DOAR-specific pilot, not established transfer.","Purely descriptive only -- 'this drawing shows characteristics more typical of [scribble/representational] stage.' NEVER an emotional, personality, or diagnostic claim, and never used to infer the child's actual age (drawing skill varies for many reasons besides age).",RESEARCH-ONLY / HYPOTHESIS TO PILOT (downgraded from an earlier draft of this register that called it an 'operational candidate' -- that overstated confidence by conflating the well-evidenced source finding with untested DOAR-specific transfer feasibility; corrected 2026-08-02 per review),"VERIFIED -- full text read directly via PMC this session, statistics quoted from the source"
LIT_EMOTION_FACE_ENCODING_007,"'Children's developing ability to depict emotions in their drawings', PubMed 17165414 (full-text fetch blocked by a cookie-consent wall this session -- SEARCH SUMMARY ONLY, not independently verified); related: 'Children's understanding of facial expression of emotion: II. Drawing of emotion-faces', PubMed 1961671 (not fetched); 'Typical emotional expression in children's drawings of the human face' (ResearchGate, not fetched)","Standard facial-feature encoding conventions for emotion: upturned mouth (happy), tears (sad), wrinkled brows + exposed teeth + slanted brows (anger), wide-open eyes (fear/surprise)","The EMOTION the child intended to depict on a drawn face -- explicitly an expression-depiction construct, not a personality trait or diagnostic construct",Not confirmed from search summaries alone; per-study N/ages not independently verified this session,"UNCONFIRMED -- summaries suggest at least some source studies used an instructed self-portrait/labeled-emotion task ('draw a happy/sad face'); this must be confirmed per-study before use, not assumed",Happiness and sadness reported as the most reliably recognized emotions in children's drawings by both child and adult raters; ratings of emotional expressiveness increase linearly with age,None specific found this round; general reliability/validity concerns for drawing-based assessment apply as elsewhere in this register,Not quantified from available summaries; requires full-text retrieval (blocked this session),"Task/audience-demand effects (children adapt expressive strategies to who they think is looking, or to the label they were given); learned cultural symbol conventions rather than felt emotion","Face detection + mouth-shape/eyebrow-angle/eye-openness feature extraction -- a MORE ambitious detector than the existing eye-only Tier-2 rules (wide_eyes/stern_eyes/closed_eyes) require, since it needs mouth and eyebrow localization too","POTENTIALLY HIGH VALUE if verified -- this is the closest literature found to date to DOAR's actual mandate ('generate cautious emotional-EXPRESSION hypotheses', not personality/trait claims). Unlike the existing eye rules (which claim a personality trait from eye style), this literature is about which emotion a child intended to depict -- a narrower, better-matched claim. But protocol (spontaneous vs instructed) is unconfirmed and full text was not retrieved -- must not be treated as verified.","None yet -- flagged for round 3 full-text verification before any interpretation is proposed, even a hedged one","RESEARCH-ONLY, HIGH PRIORITY FOR ROUND-3 FULL-TEXT VERIFICATION (most promising unverified lead in this round)",SEARCH SUMMARY ONLY -- full-text fetch of the primary source (PubMed 17165414) was attempted and blocked by a cookie-consent wall this session
LIT_CULTURAL_CONFOUND_008,"Cross-cultural comparison (England/Iran/Brazil figure size, action-orientation, shading), gender-typicality cross-cultural study (ScienceDirect), Japan cross-cultural analysis (SAGE); naturalistic peer-collaboration observation (Boyatzis, 2000)","Figure size, pose/action-orientation, shading tendency, gender-linked subject choice (e.g. vehicles), all as a function of culture/country and social/peer context rather than individual psychological state","N/A -- this is CONFOUNDER evidence, not itself an interpretive construct","Multiple studies, various child populations by country; not independently verified this session (search summaries only)",Mixed / not confirmed per study,"Brazilian children drew larger figures, more action-oriented poses, more shading than English/Iranian peers; Grade 1 drawings similar across cultures, Grade 2+ diverge; boys included vehicles roughly twice as often as girls; peer presence/collaboration measurably influences children's drawing choices",N/A,Not quantified from available summaries,N/A -- this IS the alternative explanation for several existing rules,"None -- this is evidence to add to existing rules' documented limitations, not a new detector target","DIRECTLY relevant as an added limitation on: PSY_AR_SIZE_HALF_014/015/016 (size), PSY_AR_TRANSPORT_012 (vehicles -- the gender-pattern finding is a strong alternative explanation not currently listed in that rule's limitations)",Strengthens existing confidence ceilings' conservatism; should be added as an explicit limitation on the size and vehicle rules,"RESEARCH-ONLY (reinforcing citation for existing rules' limitations, not a new rule)",SEARCH SUMMARY ONLY -- not independently fetched this session
LIT_MOTOR_SKILL_CONFOUND_009,Multiple fine-motor-development and drawing-assessment studies (search summary; specific study reporting fine motor skill as independent predictor of DAP:IQ scores not individually fetched),N/A -- confounder evidence,N/A,Not independently verified this session,Not confirmed per study,Fine motor skill reported as an independent predictor of drawing-assessment scores (DAP:IQ); response inhibition and drawing skill linked via shared fine-motor-control mechanisms; task-specific motor-control measures may capture different underlying skills,N/A,Not quantified from available summaries,N/A -- this IS an alternative explanation for size/detail/complexity-based rules,None -- reinforcing citation only,"Adds to already-documented alternative explanations (e.g. PSY_AR_SIZE_SMALL_016 already lists 'motor skill' as a limitation) -- this is corroborating literature for an existing caution, not a new rule",Reinforces existing conservative framing; no new claim,RESEARCH-ONLY (reinforcing citation),SEARCH SUMMARY ONLY -- not independently fetched this session
LIT_MATERIAL_MEDIUM_CONFOUND_010,Multiple studies on paper size (A4/A5/B6/A3/B4) and drawing medium (marker/stylus/finger/touchscreen/watercolor pen vs. pencil) effects on children's drawings (search summary),N/A -- confounder evidence for coverage/detail/colour-brightness features specifically,N/A,"Multiple studies, various ages including 2-5yo tablet/marker comparison; not independently verified this session",Not confirmed per study,"Small paper (A5/B6) limits detail/completion; oversized paper (A3/B4) leaves excess blank space; drawing medium changes codability and quality (touchscreen finger-drawing helped younger children but hurt adult quality); watercolor pens produce higher brightness than pencils, plausibly biasing colour-based features",N/A,Not quantified from available summaries,"N/A -- this IS an alternative explanation, and a genuinely NEW one not previously documented anywhere in DOAR's registers","None new -- but suggests DOAR's manifest/provenance schema could usefully record capture medium/paper size/scan-vs-photo when available, since Combined_Drawing plausibly aggregates inconsistent capture conditions","HIGH VALUE, NEW: DOAR's coverage_* and colour_* features (bounding_box_coverage, colour_proportions, dominant_colour) are all plausibly sensitive to paper size and drawing medium, which the current pipeline does not record or control for at all. This is a genuine, previously-undocumented methodological limitation.","Should be added as an explicit, first-class limitation in SCIENTIFIC_LIMITATIONS.md, not just an existing rule's footnote -- it affects the objective FEATURES themselves, not only their psychological interpretation",RESEARCH-ONLY -> DOCUMENTATION ACTION (add to SCIENTIFIC_LIMITATIONS.md as a new limitation; no rule or detector implied),SEARCH SUMMARY ONLY -- not independently fetched this session
