experiment_id,family,research_question,hypothesis,independent_variable,primary_dependent_variable,secondary_dependent_variables,baseline,controlled_variables,dataset_split_and_leakage_controls,preprocessing_architecture_exceptions,primary_metric,secondary_metrics,hyperparameter_search_space,tuning_budget,n_seeds,est_compute_time,est_memory,est_storage,expected_thesis_value,advancement_rule,stopping_exclusion_criterion,main_confounders_limitations,required_implementation_changes,integration_difficulty,rank
A1,A: deep classifiers,"Does a densely-connected CNN (DenseNet121) reach macro-F1 competitive with the Phase4/5 screened architectures (mobilenet_v3_small 0.695, resnet18 0.718, efficientnet_b0 0.729 mean valid macro-F1)?","H1: DenseNet121's mean validation macro-F1 (n=3 seeds) falls within the range already spanned by the 3 existing architectures (0.695-0.729), i.e. dense connectivity is not expected to be a decisive advantage on this dataset size. Falsified if DenseNet121's mean macro-F1 mean is either >0.75 or <0.65 with non-overlapping seed ranges vs the existing 3.",Architecture (densenet121 vs the 3 existing),Validation macro-F1,"Accuracy, balanced accuracy, per-class F1, NLL/Brier/ECE pre+post calibration, ROC-AUC, PR-AUC, params, checkpoint size, train time","Phase 4/5 mobilenet_v3_small/resnet18/efficientnet_b0 (existing results, not rerun)",Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None expected -- densenet121 has an ImageNet-pretrained torchvision backbone like the other 3; freeze_epochs=3 applies normally,Macro-F1,"Accuracy, balanced accuracy, ECE, ROC-AUC, PR-AUC","None (reuses the frozen Phase4/5 protocol exactly -- this is a screening run, not a tuning run)",Zero (no HP search) -- equal-budget with Phase4/5's own zero-HP-search screening,"3 (42, 123, 2026 -- same seeds as Phase 5)",~550-750s/seed x3 = ~30-38 min total (extrapolated from resnet18/efficientnet_b0's real Phase4/5 wall-clock at the same param-count order of magnitude; not yet measured for densenet121),<6GB VRAM at batch 4 (smaller than resnet18 at 11.2M vs densenet121's 7.0M params; expected to fit comfortably),best.pt+last.pt ~170MB/seed x3 = ~0.51GB (12.1 bytes/param extrapolated from Phase5's real checkpoint-size/param-count ratio),Medium -- adds one more architecture family (dense connectivity) to the screening table at near-zero engineering cost; strengthens 'which CNN family' claims either way,"Advance to multi-seed (this is already 3-seed) shortlist consideration only if mean macro-F1 is within 0.02 of the current best (efficientnet_b0, 0.729) AND calibration/runtime/size are not worse on all axes simultaneously",Exclude from further work (fusion/fine-tuning ablations) if mean macro-F1 falls >0.03 below efficientnet_b0's 0.729 with non-overlapping seed range,"Same non-leakage-safe dataset as all Phase3A-6 work; single controlled protocol may not be each architecture's individually-optimal LR/schedule (deliberate -- equal-protocol screening, not per-model tuning)",Add one registry.py entry: _TV_BUILDER['densenet121']='densenet121' + a build_model() branch using models.densenet121 and model.classifier = nn.Linear(...). No trainer/CLI changes needed.,Very low -- identical pattern to the 7 already-integrated torchvision architectures,Recommended
A2,A: deep classifiers,"Does ConvNeXt-Tiny (a modernized, transformer-recipe-trained CNN, already fully wired in registry.py and embeddings.py) reach competitive macro-F1?","H2: ConvNeXt-Tiny's mean validation macro-F1 (n=3) is not assumed superior to efficientnet_b0 merely for being newer/larger (27.8M vs 4.0M params); falsified if it does NOT outperform efficientnet_b0 by a margin exceeding both models' seed-to-seed std, in which case the params/runtime/storage cost is not justified.",Architecture (convnext_tiny vs the 3 existing),Validation macro-F1,Same as A1,"Phase 4/5 efficientnet_b0 (current best mean macro-F1, 0.729)",Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",ConvNeXt uses LayerNorm instead of BatchNorm -- no protocol change needed (torchvision handles this internally); already has a registered embedding-extraction node in embeddings.py,Macro-F1,"Accuracy, balanced accuracy, ECE, ROC-AUC, PR-AUC, params, checkpoint size, train time","None (screening run, same protocol)",Zero (equal-budget screening),"3 (42, 123, 2026)","~800-1000s/seed x3 = ~40-50 min total (extrapolated -- 27.8M params is the largest CNN screened so far, ~2.6x resnet18's params; efficientnet_b0 at 4.0M took 790.7s/seed, so a compute-scaled estimate trends higher, though ConvNeXt's compute profile differs from EfficientNet's compound scaling)","Likely fits in 6GB at batch 4, but is the largest-activation-footprint CNN in this matrix -- verify with a 1-epoch smoke run before committing to a full 3-seed campaign",best.pt+last.pt ~673MB/seed x3 = ~2.02GB,"Medium-high -- represents a distinct 'modernized ConvNet' design philosophy (large kernels, LayerNorm, GELU, transformer-style training recipe) not otherwise represented in the existing 3 architectures",Same rule as A1: advance to shortlist only if mean macro-F1 is within 0.02 of the current best and not worse on all secondary axes,"Exclude if mean macro-F1 is not better than efficientnet_b0 by more than the combined seed-variability margin (per Phase5 Section5's inconclusive-superiority lesson, do not force a winner from a small gap)","Same non-leakage-safe dataset; largest param count of the CNNs tested raises overfitting risk on ~2,821 train images -- watch train/valid loss divergence",None -- convnext_tiny already has a full registry.py build_model() branch and an embeddings.py extractor node ('flatten'),"None (already fully integrated, simply never run)",Recommended
A3,A: deep classifiers,"Is a compact pretrained vision transformer (timm deit_tiny_patch16_224, 5.5M params) a feasible, dataset-size-appropriate alternative to CNNs for this task, versus the disproportionately large existing vit_b_16 (85.8M params)?","H3: A compact ViT, frozen-backbone (head-only training), will NOT outperform the CNN screening results, because 2,821 training images is small for transformer inductive-bias-free architectures that typically need more data or heavier regularization; expected outcome is a null/negative result, retained as evidence either way.","Backbone (deit_tiny_patch16_224, frozen) vs efficientnet_b0",Validation macro-F1 (head-only training),"Accuracy, balanced accuracy, ECE, training time (should be fast -- few trainable params)",Phase 4/5 efficientnet_b0,"Same eval code, splits, image size as CONTROLLED; but freeze_epochs=10 (frozen for the entire budget) as the deliberate IV, not the usual 3","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final","Requires ImageNet-normalized 224x224 input consistent with the existing pipeline; needs a NEW timm-based build path (registry.py currently only wraps torchvision, not timm) and one-time internet access to download pretrained weights from the timm/HF hub (not yet verified possible from this environment)",Macro-F1,"Accuracy, ECE, train time, trainable-parameter count","None (single feasibility probe, not a search)","Zero -- this is explicitly a feasibility probe, not a competitive screening run",1 (feasibility probe only; escalate to 3 seeds only if the advancement rule is met),"~450-600s for 1 seed (fewer trainable params than a full fine-tune reduces backward-pass cost, but forward-pass cost on 196 tokens is non-trivial) -- not yet measured","Expected to fit in 6GB easily (5.5M params, small activations relative to the CNNs already tested)",~134MB for 1 seed (best.pt+last.pt),"Medium -- answers 'is a transformer justified here at all' with real evidence rather than assumption, directly addressing the requirement to not assume transformers help","Escalate to a 3-seed campaign (A4) ONLY if this single-seed probe's macro-F1 is within 0.03 of efficientnet_b0's 0.729 AND training completes without instability (NaN loss, non-convergence)","If macro-F1 is materially below the CNN screening range (>0.05 below efficientnet_b0) or training is unstable, stop here -- do not fine-tune, do not add a second ViT variant, retain the negative result",Frozen-backbone-only result is not comparable to a fully fine-tuned CNN on a like-for-like basis -- this probe answers 'is the pretrained representation already good for this task' not 'is ViT better than CNN when fully trained'; a fine-tuned comparison would need its own controlled ablation (see E1) only if this probe is promising,"New: a timm-backed model-loading path (timm.create_model + a linear head), threaded through registry.py or a parallel loader; verify internet/hub access in this environment before scheduling","Low-medium -- timm is already installed and its API is simple, but this is genuinely new code, not a registry.py one-liner like A1/A2",Optional
A4,A: deep classifiers,"If a compact ViT (A3) shows promise, does full/partial fine-tuning across 3 seeds change the conclusion?","Conditional on A3's advancement rule firing; hypothesis to be set at that time based on A3's actual result, not assumed in advance",Fine-tuning depth (frozen vs partial-unfreeze vs full) for the compact ViT,Validation macro-F1,"Same as A1, plus per-fine-tuning-depth breakdown",A3's frozen-backbone probe result,Same manifest/splits as Phase 3A-6; 224x224 image size; batch 4 / grad-accum 4 (effective 16); 10-epoch budget; AdamW head-lr 3e-4 / backbone-lr 1e-4; ReduceLROnPlateau; freeze_epochs=3 unless the IV; same checkpoint-selection rule (best validation macro-F1); same evaluation code (export-probabilities + evaluate-predictions on valid),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",Same as A3,Macro-F1,"Accuracy, ECE, train time, overfitting gap (train-valid loss divergence)","freeze_epochs in {0 (full FT), 3 (standard), 10 (frozen)}","Equal to the CNN screening budget (zero additional HP search beyond the freeze_epochs sweep itself, which IS the E1 ablation applied to this architecture)",3 (only if A3's advancement rule fires),~500-700s/seed x3 seeds x3 freeze-depths = up to ~1.5-2 hours if fully escalated (upper bound; most likely only 1 freeze-depth proceeds to 3 seeds),Same as A3,~134MB/run x up to 9 runs = up to ~1.2GB (upper bound),Low unless A3 is genuinely promising -- this experiment is explicitly conditional and should not be run speculatively,N/A -- this IS the advancement path from A3,Do not run at all if A3's advancement rule does not fire -- this is the core 'no post-hoc expansion merely because results are disappointing' governance rule applied concretely,"Same as A3, plus: fine-tuning a small transformer on ~2,821 images independently of A3's frozen result risks overfitting; watch closely",Reuses A3's new timm loading path plus the existing freeze_epochs/unfreeze_all mechanism already in registry.py,"Low, conditional on A3",Optional (conditional)
A5,A: deep classifiers,"Does the existing (already-integrated, never-run) vit_b_16 add value as a low-cost frozen-backbone probe, despite being disproportionately large for this dataset?","H: vit_b_16 frozen-head-only will not outperform the compact ViT probe (A3) or the CNN screening range, because its 85.8M-parameter backbone is pretrained at a scale mismatched to a 4-class, ~2,821-image task; run once, for the record, not as an expected win.","Backbone (existing vit_b_16, frozen)",Validation macro-F1 (head-only),"ECE, train time, checkpoint size (illustrates the storage cost of large-backbone models)",Phase 4/5 efficientnet_b0,Same as A3 but freeze_epochs=10 for the entire budget,"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None -- vit_b_16 is already a torchvision registry.py entry,Macro-F1,"ECE, train time, checkpoint size",None (single feasibility probe),Zero,1 (feasibility record only -- do not escalate to multi-seed; see stopping rule),"~450-600s (only the head trains; forward pass on a ViT-B is the dominant cost, similar order of magnitude to A3's estimate)","Expected to fit in 6GB at batch 4 for inference+head-training, but activation memory for a ViT-B forward pass is the largest of any model in this matrix -- verify with a smoke run first",~1.03GB for a single best.pt (85.8M params x 12.1 bytes/param) -- by far the largest single-checkpoint cost in this matrix,"Low-medium -- mainly documents that scale mismatch is real and quantifiable (storage/compute cost vs no expected benefit), which is itself a defensible thesis point ('bigger pretrained models are not automatically justified')","None -- this experiment is capped at 1 seed regardless of outcome, per its own design",Always stop after the single probe; do not fine-tune vit_b_16 further under any outcome -- the 1GB/checkpoint cost for 3 seeds (~3.1GB) is not justified by a frozen-head probe result alone,"Frozen-head-only, not a fair fine-tuned comparison; large activation memory may force batch-size or grad-accum changes on the 6GB GPU",None,"None (already integrated, zero new code)",Optional
B1,B: pretrained feature representations,"Do frozen DINOv2 self-supervised embeddings, with only a linear classifier fit on top, reach competitive macro-F1 without any backbone fine-tuning?","H: A linear classifier on frozen DINOv2 embeddings reaches within 0.05 macro-F1 of the best fine-tuned CNN (efficientnet_b0, 0.729), demonstrating that most of the task's linearly-separable signal is already present in a general-purpose self-supervised representation, without any drawing-specific fine-tuning.",Classifier head (logistic regression) on frozen vit_small_patch14_dinov2 embeddings (384-dim),Validation macro-F1,"Accuracy, balanced accuracy, NLL/Brier/ECE, train time (embedding extraction is one-time; classifier fit is near-instant)",Phase 4/5 efficientnet_b0 (fine-tuned end-to-end),"Same manifest/splits; embeddings extracted once with extract-embeddings (dinov2 backbone already supported), classifier fit with sklearn Pipeline(SimpleImputer, StandardScaler, LogisticRegression) matching the pattern already used in experiments.py","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",DINOv2 embeddings do not require the augmentation pipeline (no backbone training) -- only a fixed resize/normalize consistent with the DINOv2 model card,Macro-F1,"Accuracy, balanced accuracy, ECE, NLL, Brier","LogisticRegression C in {0.01, 0.1, 1, 10} (small grid, validation-selected)","Equal to Family C's classical-model tuning budget (small grid, CPU-only, seconds per fit)","3 (42, 123, 2026 -- classifier random_state only, embeddings are deterministic given a frozen backbone)","Embedding extraction (one-time, GPU, forward-pass only): ~60-180s for ~3,688 images (rough order-of-magnitude, not yet measured). Classifier fits: seconds, CPU, x3 seeds x4 C-values = well under 5 minutes total.","<6GB VRAM for embedding extraction (inference-only, no gradients, no optimizer state)","Embeddings .npz: ~3,688 x 384 x 4 bytes = ~5.7MB (one-time, reusable across B1/B2/B3); classifier artifacts: negligible (<1MB each)","High -- directly answers whether end-to-end fine-tuning is necessary at all, a central scientific question this programme is designed to answer, not assumed",Advance DINOv2 embeddings to the fusion family (D2) if macro-F1 is within 0.05 of the best deep CNN result,"If macro-F1 is far below the CNN range (>0.10 below efficientnet_b0) even after B2/B3's more flexible classifiers, conclude that this task requires domain-specific fine-tuning and drop DINOv2-alone from further consideration (but still usable in fusion, D2)","DINOv2 was pretrained on natural photographs, not children's drawings -- domain gap is a real, expected confounder, not a defect if performance is lower than fine-tuned CNNs",None for extraction (embeddings.py already supports 'dinov2*' backbones via torch.hub); a small new script/CLI path may be needed for a *pure* frozen-embedding classifier (train_primary_fusion currently always combines objective features + embeddings -- verify or add an embeddings-only mode),"Low -- extraction path exists; classifier-only path needs a small, well-scoped extension",Recommended
B2,B: pretrained feature representations,Does a nonlinear classifier (RBF SVM) on the same frozen DINOv2 embeddings outperform the linear one (B1)?,"H: RBF SVM does not meaningfully outperform logistic regression on DINOv2 embeddings (falsifiable: if the macro-F1 gap exceeds both models' seed-to-seed std, the representation is not already linearly separable and SVM's nonlinearity adds real value).",Classifier (RBF SVM vs logistic regression) on the same frozen embeddings,Validation macro-F1,Same as B1,B1 (logistic regression on the same embeddings),"Identical embeddings.npz as B1 (reused, not re-extracted); sklearn Pipeline(SimpleImputer, StandardScaler, SVC(kernel='rbf', probability=True))","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None beyond B1's,Macro-F1,"Accuracy, balanced accuracy, ECE, NLL, Brier","SVC C in {0.1, 1, 10}, gamma in {'scale', 0.01, 0.1} (small grid)",Equal grid size to B1's C-sweep (comparable total fits),3,"Seconds-to-low-minutes, CPU-only, reusing B1's embeddings (no new extraction cost)","Negligible (CPU, small feature matrix)",Negligible (<1MB per model),"Medium -- a direct, controlled linear-vs-nonlinear comparison on identical features, cheap to run given B1 already paid the embedding-extraction cost","Prefer B1 (simpler) over B2 for any downstream fusion work unless B2 wins by a margin exceeding both models' seed variability, per the project's own 'prefer the simpler model on a negligible difference' convention (Phase 5 Section 8)","If B2 does not exceed B1 by a resolvable margin, stop here -- do not add further classifier-complexity variants","Same domain-gap confounder as B1; SVM probability calibration (Platt scaling) is a separate, weaker calibration than the project's own temperature scaling -- flag any ECE comparison to deep models as not apples-to-apples for that reason",Same small extension as B1,Low,Recommended
B3,B: pretrained feature representations,"Does a shallow MLP on frozen DINOv2 embeddings outperform the linear/SVM classifiers, and is the added complexity justified?","H: A shallow (1-2 hidden layer) MLP does not meaningfully outperform B1/B2 given the small training set (2,821 images) relative to embedding dimensionality (384) -- expected to be marginal or to overfit, not assumed to win.","Classifier (sklearn MLPClassifier, 1 hidden layer) on the same frozen embeddings",Validation macro-F1,"Same as B1, plus overfitting gap (train vs valid macro-F1)",B1 and B2,Identical embeddings.npz as B1/B2; sklearn MLPClassifier (already imported in fusion/trainer.py's dependency set),"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",None beyond B1's,Macro-F1,"Accuracy, ECE, train-valid F1 gap (overfitting check)","hidden_layer_sizes in {(64,), (128,)}, alpha (L2) in {1e-4, 1e-3, 1e-2}","Small grid (6 combinations), comparable total fits to B1/B2",3,"Low minutes, CPU-only, reusing B1's embeddings",Negligible,Negligible,"Low-medium -- completes the linear/kernel/neural progression on identical features cheaply, useful for a thesis figure even if the result is null",Only proceed with MLP for downstream fusion work if it beats B1/B2 by a resolvable margin AND shows no meaningful train-valid gap increase,"If MLP overfits (large train-valid gap) or does not exceed B1/B2, retain as a documented negative result and do not pursue deeper/wider MLPs","Same domain-gap confounder; small training set makes any nonlinear classifier overfitting-prone -- report the train-valid gap explicitly, not just valid macro-F1",Same small extension as B1/B2,Low,Optional
B4,B: pretrained feature representations,"How does an already-installed alternative self-supervised/vision-language embedding (OpenCLIP, already supported via embeddings.py's 'openclip:' backbone prefix) compare to DINOv2 on the same classifiers?","H: OpenCLIP and DINOv2 embeddings do not differ by a resolvable margin under the same linear classifier, since both are general-purpose pretrained representations facing the same drawing-domain gap; if one clearly wins, that is a genuine, reportable finding, not assumed in advance.","Embedding backbone (openclip vs dinov2), classifier held fixed (logistic regression, per B1)",Validation macro-F1,Same as B1,B1 (DINOv2 + logistic regression),Same classifier code/grid as B1; only the embeddings.npz source differs,"Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",OpenCLIP has its own published preprocessing transform (returned by open_clip.create_model_and_transforms) which must be used instead of the DINOv2/ImageNet normalization -- already handled by embeddings.py's existing 'openclip:' path,Macro-F1,"Accuracy, ECE, embedding dimensionality (cost/quality tradeoff)",Same LogisticRegression C grid as B1,Same as B1,3,"Similar order of magnitude to B1's embedding-extraction cost (one-time, GPU, forward-pass only)",<6GB VRAM,"Embeddings .npz, size depends on the chosen OpenCLIP variant's embedding dim (typically 512-768) -- a few MB to ~10MB, one-time","Medium -- this experiment is a bonus, not in the user's original request, but costs nothing extra since embeddings.py and the openclip dependency are already installed and wired; strengthens the 'which SSL representation' comparison with a second, already-available option",Same as B1 -- whichever of DINOv2/OpenCLIP performs better (or ties) becomes the Family D fusion embedding source,"If neither improves on B1's DINOv2 result, do not add a third embedding family speculatively","OpenCLIP is trained with a different objective (image-text contrastive) than DINOv2 (self-distillation) -- a difference in results reflects objective + data mismatch, not a clean ablation of one variable",None -- 'openclip:' backbone path already exists in embeddings.py,None,Optional
C1,C: interpretable feature baselines,"How well do the existing, already-computed objective DOAR features (quality/segmentation/composition/colour/stroke, ~50+ columns) predict emotion class using a linear classifier, and has this baseline ever actually been run under the project's controlled multi-seed protocol?","H: The existing objective features (not designed as emotion predictors -- they were designed for rule-evidence, not classification) underperform the fine-tuned CNNs by a wide margin, but are not necessarily useless -- expected result is a real, informative lower bound, not assumed to be near-zero.",None (baseline establishment) -- classifier is logistic regression,Validation macro-F1,"Accuracy, balanced accuracy, per-class F1, ECE, NLL",None (this experiment IS a baseline) -- compared post-hoc against efficientnet_b0,"compare-models CLI already implements this exact protocol (SimpleImputer+StandardScaler+LogisticRegression in a Pipeline, fit on train only)","Existing fixed train/valid/test folders (2,821/310/557 images); validation split only for all selection; test split untouched by this family; NOT leakage-safe (41% of images are exact/near cross-split duplicates or label conflicts per outputs/phase5/deep/leakage_gate/leakage_report.json) -- results are development-only, not final",Feature extraction requires extract-features to have been run on the manifest first (produces the features CSV consumed by compare-models) -- not yet run under this specific manifest as far as this review found,Macro-F1,"Accuracy, balanced accuracy, per-class F1, ECE","None (compare-models uses fixed, already-tuned-once sklearn defaults per experiments.py -- no search)",Zero (matches the deep-model screening's zero-HP-search convention),"3 (42, 123, 2026 -- DEFAULT_SEEDS already defined in experiments.py)","Under 1 minute total, CPU-only (extract-features is the dominant cost, likely a few minutes for ~3,688 images; classifier fits are seconds)","Negligible (CPU, small tabular data)",Features CSV: a few MB; classifier artifacts: negligible,"High -- this is the classical, fully-interpretable baseline a thesis needs to contextualize how much the deep models are actually adding over hand-designed features","Always report regardless of outcome -- this is a required baseline, not a competitive candidate to be dropped if it underperforms",N/A -- always retained as the interpretable-baseline reference point,"Two features (shape.enclosed_shape_count, shape.repetition_score) are structurally UNAVAILABLE (no detector) and will be median-imputed as missing -- report this explicitly, do not let it look like a working shape feature",None -- extract-features and compare-models already exist and already implement leakage-safe (train-only) fitting via sklearn Pipelines,"None (already built, simply not yet run under this specific manifest/seed protocol)",Recommended
