rule_id,observable,required_object_or_feature,required_detector_capability,task_type,applicability_to_free_drawing,candidate_models_datasets,licence_and_compute,required_annotations,validation_metrics_and_minimum_acceptance,remains_unvalidated_even_if_detection_works
PSY_AR_EYES_WIDE_001,wide_eyes,A drawn face with visibly wide/open eyes,Face detection + eye-region localization + eye-openness classification,"detection (face), keypoints (eye location), classification (openness)",Content-conditional -- only evaluated if a face is positively detected; must never be evaluated on faceless drawings,"Photo-domain: MediaPipe Face Mesh, dlib 68-point landmarks -- both trained on photographs of real faces. Drawing-domain: ChildlikeSHAPES (Meta, arXiv:2504.08022, Apr 2025) -- 16,075 pixel-annotated 'childlike' figure drawings across 25 semantic parts incl. face features, trained for CharSegNet (figure segmentation for animation). Whether its drawings are authentic scans of real children's drawings or artist-created 'childlike style' art for an animation pipeline is NOT confirmed from the paper abstract and must be checked at the source before relying on it. No dataset was found with eye-state (open/stern/closed) labels specific to drawings of any kind.","MediaPipe: Apache 2.0, CPU-feasible. dlib: Boost license, CPU-feasible. ChildlikeSHAPES: license/access terms not yet confirmed.","DOAR-specific: face-present bounding boxes (positive/negative) on a held-out sample; where a face is present, eye bounding boxes plus a 3-way open/stern/closed label per eye, labeled by >=2 independent raters so inter-rater agreement can be measured.","Face-presence: precision/recall/F1 vs. held-out human labels. Eye-state: macro-F1 vs. majority-vote human label, reported alongside the human raters' own inter-rater kappa as a ceiling -- a classifier should not be trusted above the level humans agree with each other.","YES -- scientific_support=not_found_for_specific_claim, ceiling 0.20 (RULE_SOURCE_REGISTER.csv). Detection only makes the geometric observation reliable; the personality claim stays unsupported."
PSY_AR_EYES_STERN_002,stern_eyes,A drawn face with a visibly stern/angry eye expression,Face detection + eye-region localization + eye-expression classification (harder/more subjective than openness alone),"detection, keypoints, classification",Content-conditional,"Photo-domain: MediaPipe Face Mesh, dlib 68-point landmarks -- both trained on photographs of real faces. Drawing-domain: ChildlikeSHAPES (Meta, arXiv:2504.08022, Apr 2025) -- 16,075 pixel-annotated 'childlike' figure drawings across 25 semantic parts incl. face features, trained for CharSegNet (figure segmentation for animation). Whether its drawings are authentic scans of real children's drawings or artist-created 'childlike style' art for an animation pipeline is NOT confirmed from the paper abstract and must be checked at the source before relying on it. No dataset was found with eye-state (open/stern/closed) labels specific to drawings of any kind.","MediaPipe: Apache 2.0, CPU-feasible. dlib: Boost license, CPU-feasible. ChildlikeSHAPES: license/access terms not yet confirmed.","DOAR-specific: face-present bounding boxes (positive/negative) on a held-out sample; where a face is present, eye bounding boxes plus a 3-way open/stern/closed label per eye, labeled by >=2 independent raters so inter-rater agreement can be measured.","Face-presence: precision/recall/F1 vs. held-out human labels. Eye-state: macro-F1 vs. majority-vote human label, reported alongside the human raters' own inter-rater kappa as a ceiling -- a classifier should not be trusted above the level humans agree with each other.","YES -- scientific_support=indirect_expression_research_only, ceiling 0.25. Cited research (REF_EYES_EXPRESSION_2007) shows children CAN intentionally depict emotion via eye style, which is weaker than showing the child WAS angry -- registry already states this correctly."
PSY_AR_EYES_CLOSED_003,closed_eyes,A drawn face with closed/absent-pupil eyes,Face detection + eye-region localization + open-vs-closed binary classification (likely the easiest of the 3 eye states to define operationally),"detection, keypoints, classification",Content-conditional,"Photo-domain: MediaPipe Face Mesh, dlib 68-point landmarks -- both trained on photographs of real faces. Drawing-domain: ChildlikeSHAPES (Meta, arXiv:2504.08022, Apr 2025) -- 16,075 pixel-annotated 'childlike' figure drawings across 25 semantic parts incl. face features, trained for CharSegNet (figure segmentation for animation). Whether its drawings are authentic scans of real children's drawings or artist-created 'childlike style' art for an animation pipeline is NOT confirmed from the paper abstract and must be checked at the source before relying on it. No dataset was found with eye-state (open/stern/closed) labels specific to drawings of any kind.","MediaPipe: Apache 2.0, CPU-feasible. dlib: Boost license, CPU-feasible. ChildlikeSHAPES: license/access terms not yet confirmed.","DOAR-specific: face-present bounding boxes (positive/negative) on a held-out sample; where a face is present, eye bounding boxes plus a 3-way open/stern/closed label per eye, labeled by >=2 independent raters so inter-rater agreement can be measured.","Face-presence: precision/recall/F1 vs. held-out human labels. Eye-state: macro-F1 vs. majority-vote human label, reported alongside the human raters' own inter-rater kappa as a ceiling -- a classifier should not be trusted above the level humans agree with each other.","YES -- scientific_support=not_found_for_specific_claim, ceiling 0.10 (lowest of the 3 eye rules)."
PSY_AR_ANIMAL_TIGER_WOLF_004,tiger_or_wolf,A drawn animal recognizable as a tiger OR a wolf (rule merges both species),Object detection (locate an animal-like figure) + fine-grained species classification,"detection, classification",Content-conditional,"Photo-domain: COCO-pretrained detectors (YOLO/Detectron2/Faster R-CNN). VERIFIED: COCO's 10 animal classes are bird/cat/dog/horse/sheep/cow/elephant/bear/zebra/giraffe -- NONE of tiger/wolf/fox/squirrel/lion are COCO classes, so an off-the-shelf COCO detector cannot recognize any of these species. iNaturalist-trained fine-grained species classifiers do cover these species but are trained on real photographs in nature -- an untested, likely large domain gap to children's line drawings. Sketch-domain: Quick, Draw! (Google, CC-BY 4.0) -- per your instruction, treated as a classification-of-isolated-sketch candidate only, not a detection source; also adult/general-user-drawn, not child-drawn; exact category names for these 5 species not yet confirmed against the dataset's own categories.txt. No drawing-specific or children's-drawing-specific animal-species dataset was found.","COCO-pretrained weights: mixed but generally permissive per framework (Apache/BSD); moderate compute, GPU recommended. QuickDraw: CC-BY 4.0, tiny compute (simple CNN over 28x28 bitmaps).","DOAR-specific animal-presence + species bounding boxes on a held-out sample. Likely the hardest annotation task of the three groups: even adult human raters are expected to disagree on species (tiger vs. wolf vs. dog vs. cat in child line-art), so inter-rater agreement on the same sample must be measured BEFORE trusting any ground truth built from it.",Per-species precision/recall/confusion matrix; do not set a numeric acceptance bar until human inter-rater agreement on the same sample is measured -- a detector cannot be judged 'adequate' against a target humans themselves cannot agree on.,"YES -- scientific_support=not_found_for_specific_claim, ceiling 0.10."
PSY_AR_ANIMAL_FOX_005,fox,A drawn animal recognizable as a fox,Object detection + fine-grained species classification,"detection, classification",Content-conditional,"Photo-domain: COCO-pretrained detectors (YOLO/Detectron2/Faster R-CNN). VERIFIED: COCO's 10 animal classes are bird/cat/dog/horse/sheep/cow/elephant/bear/zebra/giraffe -- NONE of tiger/wolf/fox/squirrel/lion are COCO classes, so an off-the-shelf COCO detector cannot recognize any of these species. iNaturalist-trained fine-grained species classifiers do cover these species but are trained on real photographs in nature -- an untested, likely large domain gap to children's line drawings. Sketch-domain: Quick, Draw! (Google, CC-BY 4.0) -- per your instruction, treated as a classification-of-isolated-sketch candidate only, not a detection source; also adult/general-user-drawn, not child-drawn; exact category names for these 5 species not yet confirmed against the dataset's own categories.txt. No drawing-specific or children's-drawing-specific animal-species dataset was found.","COCO-pretrained weights: mixed but generally permissive per framework (Apache/BSD); moderate compute, GPU recommended. QuickDraw: CC-BY 4.0, tiny compute (simple CNN over 28x28 bitmaps).","DOAR-specific animal-presence + species bounding boxes on a held-out sample. Likely the hardest annotation task of the three groups: even adult human raters are expected to disagree on species (tiger vs. wolf vs. dog vs. cat in child line-art), so inter-rater agreement on the same sample must be measured BEFORE trusting any ground truth built from it.",Per-species precision/recall/confusion matrix; do not set a numeric acceptance bar until human inter-rater agreement on the same sample is measured -- a detector cannot be judged 'adequate' against a target humans themselves cannot agree on.,"YES -- scientific_support=not_found_for_specific_claim, ceiling 0.05 (lowest ceiling in the whole registry; already flagged 'categorical intent attribution is unsafe')."
PSY_AR_ANIMAL_SQUIRREL_006,squirrel,A drawn animal recognizable as a squirrel,Object detection + fine-grained species classification,"detection, classification",Content-conditional,"Photo-domain: COCO-pretrained detectors (YOLO/Detectron2/Faster R-CNN). VERIFIED: COCO's 10 animal classes are bird/cat/dog/horse/sheep/cow/elephant/bear/zebra/giraffe -- NONE of tiger/wolf/fox/squirrel/lion are COCO classes, so an off-the-shelf COCO detector cannot recognize any of these species. iNaturalist-trained fine-grained species classifiers do cover these species but are trained on real photographs in nature -- an untested, likely large domain gap to children's line drawings. Sketch-domain: Quick, Draw! (Google, CC-BY 4.0) -- per your instruction, treated as a classification-of-isolated-sketch candidate only, not a detection source; also adult/general-user-drawn, not child-drawn; exact category names for these 5 species not yet confirmed against the dataset's own categories.txt. No drawing-specific or children's-drawing-specific animal-species dataset was found.","COCO-pretrained weights: mixed but generally permissive per framework (Apache/BSD); moderate compute, GPU recommended. QuickDraw: CC-BY 4.0, tiny compute (simple CNN over 28x28 bitmaps).","DOAR-specific animal-presence + species bounding boxes on a held-out sample. Likely the hardest annotation task of the three groups: even adult human raters are expected to disagree on species (tiger vs. wolf vs. dog vs. cat in child line-art), so inter-rater agreement on the same sample must be measured BEFORE trusting any ground truth built from it.",Per-species precision/recall/confusion matrix; do not set a numeric acceptance bar until human inter-rater agreement on the same sample is measured -- a detector cannot be judged 'adequate' against a target humans themselves cannot agree on.,"YES -- scientific_support=not_found_for_specific_claim, ceiling 0.10."
PSY_AR_ANIMAL_LION_007,lion,A drawn animal recognizable as a lion,Object detection + fine-grained species classification,"detection, classification",Content-conditional,"Photo-domain: COCO-pretrained detectors (YOLO/Detectron2/Faster R-CNN). VERIFIED: COCO's 10 animal classes are bird/cat/dog/horse/sheep/cow/elephant/bear/zebra/giraffe -- NONE of tiger/wolf/fox/squirrel/lion are COCO classes, so an off-the-shelf COCO detector cannot recognize any of these species. iNaturalist-trained fine-grained species classifiers do cover these species but are trained on real photographs in nature -- an untested, likely large domain gap to children's line drawings. Sketch-domain: Quick, Draw! (Google, CC-BY 4.0) -- per your instruction, treated as a classification-of-isolated-sketch candidate only, not a detection source; also adult/general-user-drawn, not child-drawn; exact category names for these 5 species not yet confirmed against the dataset's own categories.txt. No drawing-specific or children's-drawing-specific animal-species dataset was found.","COCO-pretrained weights: mixed but generally permissive per framework (Apache/BSD); moderate compute, GPU recommended. QuickDraw: CC-BY 4.0, tiny compute (simple CNN over 28x28 bitmaps).","DOAR-specific animal-presence + species bounding boxes on a held-out sample. Likely the hardest annotation task of the three groups: even adult human raters are expected to disagree on species (tiger vs. wolf vs. dog vs. cat in child line-art), so inter-rater agreement on the same sample must be measured BEFORE trusting any ground truth built from it.",Per-species precision/recall/confusion matrix; do not set a numeric acceptance bar until human inter-rater agreement on the same sample is measured -- a detector cannot be judged 'adequate' against a target humans themselves cannot agree on.,"YES -- scientific_support=not_found_for_specific_claim, ceiling 0.05."
PSY_AR_GEOMETRY_008,repeated_geometric_shapes,Multiple repeated geometric shapes (squares/triangles/etc.) across the drawing,Per-component shape classification + a repetition/count measure across components,classification (localization can likely reuse DOAR's existing connected-component extraction -- see features.py),Content-conditional; the 'repetition' aspect is itself prompt-independent-ish (Tier 1-adjacent) but the personality interpretation is content-conditional,"Sketch-domain: Quick, Draw! (CC-BY 4.0) has directly relevant single-sketch categories -- the most directly usable public resource found for this group, since its per-sketch classification framing is much closer to 'classify this cropped component' than to full-scene detection (mitigates, does not eliminate, your isolated-sketch-vs-detection caveat). Also found: ESRA (Roboflow Universe) -- 'objects inside kids' drawings', ~3,002 images with a pretrained object-detection model, directly on-domain but community-hosted; license, annotation quality and exact category list unverified and must be checked before relying on it. QuickDraw geometric-shape categories (square/triangle/etc. -- exact names to confirm) are the most relevant sketch-domain source for the base shape-classification sub-task.","QuickDraw: CC-BY 4.0, tiny compute. ESRA (Roboflow Universe): license unverified -- check before use. Reusing DOAR's existing segmentation/connected-component code: zero new dependency.","Per-component shape-class labels on a held-out sample of REAL DOAR connected-component crops (not QuickDraw's own clean canvases) -- this is what actually tests whether QuickDraw-style classification transfers to messy real crops. Also must validate the 'one shape = one connected component' assumption itself: touching/overlapping strokes in real children's drawings may merge distinct shapes into one component or fragment one shape into several, which would break this approach regardless of classifier quality.","Per-class precision/recall/F1 on the held-out DOAR crop sample, PLUS the component-extraction step's own recall (fraction of human-identified shapes that even correspond to one clean connected component) as a ceiling on the whole pipeline -- a perfect classifier is worthless if the crops it receives don't correspond to real shapes.","YES -- scientific_support=not_found_for_specific_claim, ceiling 0.15."
PSY_AR_STARS_009,stars,A drawn star shape,Per-component shape classification,classification (localization via existing connected-component extraction),Content-conditional,"Sketch-domain: Quick, Draw! (CC-BY 4.0) has directly relevant single-sketch categories -- the most directly usable public resource found for this group, since its per-sketch classification framing is much closer to 'classify this cropped component' than to full-scene detection (mitigates, does not eliminate, your isolated-sketch-vs-detection caveat). Also found: ESRA (Roboflow Universe) -- 'objects inside kids' drawings', ~3,002 images with a pretrained object-detection model, directly on-domain but community-hosted; license, annotation quality and exact category list unverified and must be checked before relying on it. QuickDraw includes a 'star' category -- directly relevant, exact match expected.","QuickDraw: CC-BY 4.0, tiny compute. ESRA (Roboflow Universe): license unverified -- check before use. Reusing DOAR's existing segmentation/connected-component code: zero new dependency.","Per-component shape-class labels on a held-out sample of REAL DOAR connected-component crops (not QuickDraw's own clean canvases) -- this is what actually tests whether QuickDraw-style classification transfers to messy real crops. Also must validate the 'one shape = one connected component' assumption itself: touching/overlapping strokes in real children's drawings may merge distinct shapes into one component or fragment one shape into several, which would break this approach regardless of classifier quality.","Per-class precision/recall/F1 on the held-out DOAR crop sample, PLUS the component-extraction step's own recall (fraction of human-identified shapes that even correspond to one clean connected component) as a ceiling on the whole pipeline -- a perfect classifier is worthless if the crops it receives don't correspond to real shapes.","YES -- scientific_support=not_found_for_specific_claim, ceiling 0.10."
PSY_AR_FLOWERS_CLOUDS_SUN_010,flowers_clouds_sun,"Flowers, clouds, and/or sun motifs (rule combines three symbols)",Per-component multi-class shape/symbol classification,classification (localization via existing connected-component extraction),Content-conditional,"Sketch-domain: Quick, Draw! (CC-BY 4.0) has directly relevant single-sketch categories -- the most directly usable public resource found for this group, since its per-sketch classification framing is much closer to 'classify this cropped component' than to full-scene detection (mitigates, does not eliminate, your isolated-sketch-vs-detection caveat). Also found: ESRA (Roboflow Universe) -- 'objects inside kids' drawings', ~3,002 images with a pretrained object-detection model, directly on-domain but community-hosted; license, annotation quality and exact category list unverified and must be checked before relying on it. QuickDraw includes 'flower', 'cloud', and 'sun' categories -- directly relevant, exact match expected for all three.","QuickDraw: CC-BY 4.0, tiny compute. ESRA (Roboflow Universe): license unverified -- check before use. Reusing DOAR's existing segmentation/connected-component code: zero new dependency.","Per-component shape-class labels on a held-out sample of REAL DOAR connected-component crops (not QuickDraw's own clean canvases) -- this is what actually tests whether QuickDraw-style classification transfers to messy real crops. Also must validate the 'one shape = one connected component' assumption itself: touching/overlapping strokes in real children's drawings may merge distinct shapes into one component or fragment one shape into several, which would break this approach regardless of classifier quality.","Per-class precision/recall/F1 on the held-out DOAR crop sample, PLUS the component-extraction step's own recall (fraction of human-identified shapes that even correspond to one clean connected component) as a ceiling on the whole pipeline -- a perfect classifier is worthless if the crops it receives don't correspond to real shapes.","YES -- scientific_support=not_found_for_combined_claim, ceiling 0.15 (this rule already requires 2-3 symbols AND a 'while distracted' mental-state judgment that is doubly unverifiable from a static image)."
