case_id,rule_id,evidence_family,concern_domain,direction_bucket,evidence_direction,allowed_output_level,eligible_for_e6,matched_entity_ids,verification_status,is_true_contradiction,is_contextual_limitation
h38,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0001,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0001_c01,verified,False,False
p2b_0001,EN_COMPILED_HOUSE_023,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0001_c00;p2b_0001_c01,verified,False,False
p2b_0001,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0002,EN_COMPILED_TREE_024,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0002_c00;p2b_0002_c01,verified,False,False
p2b_0003,EN_COMPILED_FACE_EXPRESSION_021,facial_feature_style,depressive_or_low_mood_related,concern,insufficient,disabled,False,p2b_0003_c00,verified,False,False
p2b_0004,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0005,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0005_c02,verified,False,False
p2b_0005,EN_COMPILED_LINE_HEAVY_PRESSURE_030,line_intensity_quality,aggression_or_threat_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0012,EN_COMPILED_TREE_024,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0012_c04,verified,False,False
p2b_0012,EN_COMPILED_LINE_HEAVY_PRESSURE_030,line_intensity_quality,aggression_or_threat_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0019,PSY_AR_CIRCLES_011,shape_symbolism,social_withdrawal_related,concern,insufficient,disabled,False,p2b_0019_c04;p2b_0019_c05,verified,False,False
p2b_0019,EN_COMPILED_HOUSE_023,object_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0019_c00;p2b_0019_c01;p2b_0019_c02;p2b_0019_c03,verified,False,False
p2b_0026,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0033,EN_COMPILED_FACE_EXPRESSION_021,facial_feature_style,depressive_or_low_mood_related,concern,insufficient,disabled,False,p2b_0033_c00;p2b_0033_c01;p2b_0033_c03,verified,False,False
p2b_0054,EN_COMPILED_LINE_LIGHT_PRESSURE_031,line_intensity_quality,anxiety_or_stress_related,concern,insufficient,individual_heuristic_only,True,ev_feature_stroke_intensity_proxy,deterministic_measurement,False,True
p2b_0061,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0061_c04,verified,False,False
p2b_0061,PSY_AR_SIZE_HALF_014,size_composition,neutral_descriptive_only_no_construct_proposed,neutral,conflicting,individual_heuristic_only,True,ev_bbox_coverage,deterministic_measurement,False,True
p2b_0061,EN_COMPILED_PLACEMENT_CENTER_029,spatial_placement,neutral_descriptive_only,neutral,insufficient,individual_heuristic_only,True,ev_feature_composition_centroid_x;ev_feature_composition_centroid_y,deterministic_measurement,False,False
p2b_0068,PSY_AR_GEOMETRY_008,shape_symbolism,developmental_or_attention_related,concern,insufficient,disabled,False,p2b_0068_c01,verified,False,False
p2b_0068,EN_COMPILED_ANIMAL_CHOICE_GENERAL_022,animal_symbolism,neutral_descriptive_only_no_construct_proposed,neutral,insufficient,disabled,False,p2b_0068_c09,verified,False,False
