feature_id,display_name,exact_definition,formula_or_algorithm,input_pixels_or_region,image_scope,unit,expected_range,higher_value_means,lower_value_means,implementation_status,measurement_type,proxy_or_direct,known_confounders,what_it_does_NOT_measure,static_image_valid,requires_segmentation_mask,requires_process_data,reliability_status,psychological_interpretation_status,notes
line.mean_width,Mean line width,"Mean apparent stroke width, in pixels, over stroke-like connected components only.","1) Classify each connected component of the foreground mask as stroke-like or filled: open the mask with an elliptical kernel of radius = round(2% of min(H,W)); a component with ANY surviving pixel after opening is a filled blob (excluded in full); a component fully erased by the opening is stroke-like (kept in full). 2) Over stroke-like pixels only, compute the Euclidean distance transform of the (unopened) mask; mean_width = 2 * mean(distance at stroke-like pixels).",Stroke-like connected components of the whole-image foreground mask (analysis.py's segmentation mask),WHOLE_DRAWING,pixels,"0 to min(image_height, image_width)/2",Thicker apparent strokes,Thinner apparent strokes,IMPLEMENTED,continuous,proxy,"Image resolution/DPI (pixel width is not a physical unit); antialiasing; scan/photo blur; a real stroke near or above the ~2%-of-min-dimension opening radius can be misclassified as a filled blob and reported missing rather than measured (documented, uncalibrated threshold).",Physical pencil/pen pressure or force -- a flat scan/photo cannot recover applied pressure.,yes,no (uses the existing whole-image foreground/background mask only),no,uncalibrated -- stroke/blob separation threshold requires E-Graphic calibration,OBJECTIVE_ONLY,"Renamed/fixed in Phase G0.1 Step 4A -- previously computed over the WHOLE mask, so a filled region (e.g. a coloured-in shirt) was reported as an implausibly thick 'line'."
line.width_variability,Line-width variability,Standard deviation of local apparent stroke width over stroke-like pixels.,Same stroke-like classification as line.mean_width; width_variability = 2 * std(distance transform at stroke-like pixels).,Stroke-like connected components of the whole-image foreground mask,WHOLE_DRAWING,pixels,0 to line.mean_width's own range,Inconsistent/irregular stroke width,"Consistent, uniform stroke width",IMPLEMENTED,continuous,proxy,"Same as line.mean_width (resolution, antialiasing, stroke/blob threshold).",Physical pressure variability.,yes,no,no,uncalibrated -- see line.mean_width,OBJECTIVE_ONLY,
line.darkness_mean,Line darkness (mean),"Mean pixel darkness (255 - greyscale value, normalized to 0..1) over ALL foreground pixels.",darkness = (255 - grayscale_value) / 255 at every foreground-mask pixel; darkness_mean = mean(darkness).,Whole-image foreground mask (not restricted to stroke-like pixels -- see notes),WHOLE_DRAWING,"normalized darkness, 0..1",0.0 (pure white) to 1.0 (pure black),Darker marks overall,Fainter marks overall,IMPLEMENTED,continuous,proxy,Scan/photo exposure and white balance; paper colour/texture; marker vs. pencil ink density.,Physical pencil pressure -- an appearance proxy only.,yes,no,no,stable for its stated purpose (a plain intensity statistic),OBJECTIVE_ONLY,"Deliberately computed over the WHOLE foreground (not stroke-like pixels only) -- a filled dark region genuinely IS dark; excluding it would be wrong, unlike line.mean_width."
line.darkness_variability,Darkness variability,Standard deviation of the same per-pixel darkness value over all foreground pixels.,darkness_variability = std(darkness) over the whole foreground mask.,Whole-image foreground mask,WHOLE_DRAWING,"normalized darkness, 0..1",0.0 to ~0.5,Inconsistent shading/ink density,Consistent shading/ink density,IMPLEMENTED,continuous,proxy,Same as line.darkness_mean.,Physical pressure variability.,yes,no,no,stable for its stated purpose,OBJECTIVE_ONLY,
line.continuity,Line continuity,Fraction of total foreground-mask area occupied by its single LARGEST 8-connected component.,"continuity = max(connected_component_area) / total_foreground_area (cv2.connectedComponentsWithStats, connectivity=8).",Whole-image foreground mask,WHOLE_DRAWING,"ratio, 0..1",0.0 to 1.0,One dominant continuous mark/structure,"Many separate, disconnected marks",IMPLEMENTED,continuous,proxy,Line thickness/gaps near the connectivity threshold; scan artifacts that break or merge strokes.,"Whether a SINGLE intended stroke was drawn continuously in one motion (process data, not recoverable from a static image).",yes,no,no,stable for its stated purpose,OBJECTIVE_ONLY,
line.fragmentation_rate,Fragmentation rate,"Normalized count of separate 8-connected foreground components, capped at 1.0.","fragmentation_rate = min(1.0, component_count / max(1, total_foreground_area/50)).",Whole-image foreground mask,WHOLE_DRAWING,"ratio, 0..1",0.0 to 1.0,"Many small, disconnected marks","Few, larger connected marks",IMPLEMENTED,continuous,proxy,"The /50 normalization constant is a documented, uncalibrated scale choice, not a validated per-mark pixel budget.",Intentional artistic fragmentation vs. accidental scan noise (cannot be distinguished).,yes,no,no,uncalibrated normalization constant,OBJECTIVE_ONLY,
line.straightness,Straightness,Fraction of Canny edge pixels (within the foreground mask) that lie on a Hough-detected near-straight line segment.,"edges = Canny(gray, 50, 150) masked to foreground; lines = HoughLinesP(edges, rho=1, theta=pi/180, threshold=20, minLineLength=12, maxLineGap=3); straightness = |edge pixels covered by any drawn line segment (thickness 2)| / |total edge pixels|.",Canny edges within the whole-image foreground mask,WHOLE_DRAWING,"ratio, 0..1",0.0 to 1.0,Predominantly straight-edged forms,Predominantly curved/irregular forms,IMPLEMENTED,continuous,proxy,"Canny thresholds (50/150) and Hough parameters are fixed, undocumented-elsewhere constants; short segments and heavy curvature reduce detected coverage even for intentionally straight strokes with jitter.",Ruler-use or drawing tool.,yes,no,no,"fixed constants, not calibrated against a labelled dataset",OBJECTIVE_ONLY,
line.dominant_orientation_code,Dominant orientation,"The single most common STROKE (tangent) orientation bin, coded 0.0=horizontal, 1.0=vertical, 2.0=diagonal.","Sobel gradients gx,gy computed on greyscale; gradient magnitude-weighted pixels (>5% of max magnitude, within the foreground mask) are histogrammed into 18 ten-degree bins over angle=(atan2(gy,gx)+90 deg) mod 180 -- the +90 degree rotation converts the GRADIENT (edge-normal) direction Sobel actually measures into the STROKE's own tangent direction (a vertical stroke has a horizontal gradient and must read as 'vertical', not 'horizontal'). The bin with the largest total weight is the dominant orientation; its center angle is mapped to horizontal (<22.5 deg or >=157.5 deg), vertical (67.5-112.5 deg), or diagonal (else).",Magnitude-weighted Sobel-gradient pixels within the whole-image foreground mask,WHOLE_DRAWING,"categorical code {0.0, 1.0, 2.0}","{0.0, 1.0, 2.0} or missing if no foreground",(categorical -- not ordinal),(categorical -- not ordinal),IMPLEMENTED,categorical,direct,A handful of high-curvature corner pixels could bias the histogram if unweighted -- mitigated by magnitude-weighting (see notes).,Intended drawing direction/motion (a static image has no time axis).,yes,no,no,stable; verified by synthetic horizontal/vertical/diagonal tests,OBJECTIVE_ONLY,The 90-degree gradient-to-stroke conversion is the single most important implementation detail of this feature family -- documented explicitly in code (formal_features.py::_orientation_stats) and verified by tests/test_formal_features.py::OrientationTests.
line.orientation_entropy,Orientation entropy,"Shannon entropy of the (magnitude-weighted) stroke-orientation histogram, normalized to [0,1].","entropy = -sum(p_i * log2(p_i)) / log2(18), over the same 18-bin weighted histogram as line.dominant_orientation_code.",Same as line.dominant_orientation_code,WHOLE_DRAWING,"normalized entropy, 0..1",0.0 (single direction) to 1.0 (uniform across all 18 bins),Many competing stroke directions,One dominant stroke direction,IMPLEMENTED,continuous,direct,Same weighting/threshold choices as dominant orientation.,Local (neighbourhood-level) direction agreement -- see orientation_coherence for that.,yes,no,no,stable; verified by synthetic single-vs-multi-direction tests,OBJECTIVE_ONLY,
line.orientation_coherence,Local orientation coherence,Mean structure-tensor coherence (lambda1-lambda2)/(lambda1+lambda2) over the same weighted pixel set.,"Structure tensor J = [[gx*gx, gx*gy],[gx*gy, gy*gy]] Gaussian-blurred (5x5, sigma=0); lambda1,2 = trace/2 +/- sqrt(((Jxx-Jyy)/2)^2 + Jxy^2); coherence_map = (lambda1-lambda2)/(lambda1+lambda2); orientation_coherence = mean(coherence_map) over the same magnitude-weighted pixel set used for entropy.",Same as line.dominant_orientation_code,WHOLE_DRAWING,"ratio, 0..1",0.0 (locally isotropic/multidirectional) to 1.0 (perfectly locally aligned),Strokes locally agree in direction with their immediate neighbours,Locally multidirectional/scribbled,IMPLEMENTED,continuous,direct,"A GLOBAL entropy diversity (many differently-oriented but individually straight strokes, sparsely spaced) can coexist with HIGH local coherence -- entropy and coherence measure genuinely different things and must not be conflated.",Global direction diversity (that is orientation_entropy's job).,yes,no,no,stable; verified by synthetic single-direction-vs-dense-crosshatch test,OBJECTIVE_ONLY,
