rule_id,observable_feature,source_claim,source_pdf_page_section,possible_interpretation_as_written,external_evidence_summary,evidence_direction,evidence_strength_as_written,concern_domain,static_image_detectable,requires_process_data,requires_longitudinal_data,requires_absolute_scale_or_context,alternative_explanations,clinical_question_to_ask_child_or_caregiver,context_transfer_justification,current_implementation_status,allowed_output_level,registry_v2_status,evidence_family,confidence_ceiling
PSY_AR_EYES_WIDE_001,wide_eyes,رسم العيون الواسعة يدل على الشخصية المنفتحة.,التحليل النفسي للصور.pdf p.1 — رسم العيون (Eye drawing),"openness/alertness (per the Arabic source: outgoing personality); in some emotion-drawing work, wide eyes can also fit fear/surprise -- the two English/Arabic readings point in different directions, so this rule is not mapped to a single construct.",Children's facial-expression drawings research; general projective tradition.,insufficient,Weak / mixed,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect an intentionally depicted expression, not the child's own state. | May reflect copying a reference image, drawing style, motor/fine-skill limitations, or artistic convention.",Would you be willing to ask your child about the wide eyes in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,facial_feature_style,0.2
PSY_AR_EYES_STERN_002,stern_eyes,رسم العيون الصارمة يدل على الشعور بالغضب.,التحليل النفسي للصور.pdf p.1 — رسم العيون,"anger, tension, suspicion, or defensiveness",General emotion-symbol heuristics.,partial,Weak / mixed,aggression_or_threat_related,yes,no,no,no,"May reflect an intentionally depicted expression, not the child's own state. | May reflect copying a reference image, drawing style, motor/fine-skill limitations, or artistic convention.",Would you be willing to ask your child about the stern eyes in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,facial_feature_style,0.25
PSY_AR_EYES_CLOSED_003,closed_eyes,رسم العيون المغمضة يدل على رفض الشخص النظر إلى نفسه من الداخل ورفضه الاعتراف بعيوبه.,التحليل النفسي للصور.pdf p.1 — رسم العيون,"avoidance, shutting out the world, or refusing to look inward -- a specific, idiosyncratic reading that does not cleanly fit any of the 12 broad constructs",No strong standard reference found.,insufficient,Speculative,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect an intentionally depicted expression, not the child's own state. | May reflect copying a reference image, drawing style, motor/fine-skill limitations, or artistic convention.",Would you be willing to ask your child about the closed eyes in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,facial_feature_style,0.1
PSY_AR_ANIMAL_TIGER_WOLF_004,tiger_or_wolf,رسم النمر أو الذئب يدل على الشعور بالغضب.,التحليل النفسي للصور.pdf p.1 — رسم الحيوانات (Animal drawing),"anger, threat, or aggression",No fixed universal rule found.,insufficient,Speculative,aggression_or_threat_related,yes,no,no,no,"May reflect recent exposure to media, books, or a favourite character featuring the animal, not a psychological statement. | May reflect the drawing prompt or immediate context rather than a stable trait.",Would you be willing to ask your child about the tiger or wolf in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,animal_symbolism,0.1
PSY_AR_ANIMAL_FOX_005,fox,رسم الثعلب يدل على أن الرسام كان يفكر في عمل أمر لئيم أو خبيث.,التحليل النفسي للصور.pdf p.1 — رسم الحيوانات,"sneakiness, cunning, or (per the Arabic source) thinking of doing something mean/malicious",No fixed universal rule found.,insufficient,Speculative,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect recent exposure to media, books, or a favourite character featuring the animal, not a psychological statement. | May reflect the drawing prompt or immediate context rather than a stable trait.",Would you be willing to ask your child about the fox in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,animal_symbolism,0.05
PSY_AR_ANIMAL_SQUIRREL_006,squirrel,رسم السنجاب يشير إلى حاجة الرسام للحماية والاهتمام.,التحليل النفسي للصور.pdf p.1 — رسم الحيوانات,"need for protection, nervous energy, or seeking care",No fixed universal rule found.,insufficient,Speculative,anxiety_or_stress_related,yes,no,no,no,"May reflect recent exposure to media, books, or a favourite character featuring the animal, not a psychological statement. | May reflect the drawing prompt or immediate context rather than a stable trait.",Would you be willing to ask your child about the squirrel in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,animal_symbolism,0.1
PSY_AR_ANIMAL_LION_007,lion,رسم الأسد يشير إلى اعتقاد الشخص بأنه متفوق على الآخرين.,التحليل النفسي للصور.pdf p.1 — رسم الحيوانات,"dominance, pride, strength, or a belief in one's own superiority -- a personality-trait reading, not a drawing-level emotional/social pattern, so left unmapped",No fixed universal rule found.,insufficient,Speculative,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect recent exposure to media, books, or a favourite character featuring the animal, not a psychological statement. | May reflect the drawing prompt or immediate context rather than a stable trait.",Would you be willing to ask your child about the lion in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,animal_symbolism,0.05
PSY_AR_GEOMETRY_008,repeated_geometric_shapes,حب رسم الأشكال الهندسية يشير إلى كثرة الأهداف والخطط والعناد والإصرار.,التحليل النفسي للصور.pdf p.1 — الأشكال الهندسية (Geometric shapes),"planning, control, persistence, or stubbornness","Projective tradition, weak support.",insufficient,Speculative,developmental_or_attention_related,yes,no,no,no,"May reflect current developmental drawing stage, practiced skill, or simple preference. | May reflect what the child has recently been taught or practiced drawing at school.",Would you be willing to ask your child about the repeated geometric shapes in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,shape_symbolism,0.15
PSY_AR_STARS_009,stars,رسم النجوم يشير إلى أن الشخص يريد أن يكون ملفتاً لنظر الجميع.,التحليل النفسي للصور.pdf p.1 — الأشكال الهندسية — النجوم,"wanting to be the center of attention, admiration, or visibility",No strong standard reference found.,insufficient,Speculative,neutral_descriptive_only_no_construct_proposed,yes,no,no,no,"May reflect current developmental drawing stage, practiced skill, or simple preference. | May reflect what the child has recently been taught or practiced drawing at school.",Would you be willing to ask your child about the stars in this drawing?,expert_review_required,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,shape_symbolism,0.1
PSY_AR_FLOWERS_CLOUDS_SUN_010,flowers_clouds_sun,رسم الزهور والسحب والشمس قد يعبر عن تخيل أهداف وأفكار جديدة وشخصية إيجابية ومزاج جيد.,التحليل النفسي للصور.pdf p.1 — الأشكال الهندسية — الزهور والسحب والشمس,"optimism, imagination, positive mood -- Arabic source requires the child to have been distracted/absent-minded while drawing; English source softens this to 'used in a dreamy context'. Either way this precondition describes the drawing PROCESS, not the finished image.",No fixed rule; depends heavily on context.,insufficient,Speculative,positive_affect_or_social_engagement,no,yes,no,no,"May reflect current developmental drawing stage, practiced skill, or simple preference. | May reflect what the child has recently been taught or practiced drawing at school.",Would you be willing to ask your child about the flowers clouds sun in this drawing?,insufficient_evidence,DETECTOR_UNAVAILABLE,disabled,already_in_production_registry,shape_symbolism,0.15
