case_id,R1,R2,R3,R4,R5
h38,True,False,False,False,True
p2b_0001,True,False,False,False,True
p2b_0004,True,False,False,False,True
p2b_0006,True,False,True,False,True
p2b_0007,True,False,False,False,True
p2b_0009,True,False,True,False,True
p2b_0010,True,False,False,False,True
p2b_0014,True,False,False,False,True
p2b_0017,True,False,True,False,True
p2b_0020,True,False,False,False,True
p2b_0022,True,False,False,False,True
p2b_0023,True,False,False,False,True
p2b_0025,True,False,False,False,True
p2b_0026,True,False,False,False,True
p2b_0029,True,False,False,False,True
p2b_0054,True,False,False,False,True
p2b_0068,True,False,False,False,True
