case_id,concern_domain,strategy,duplicate_inflation,cross_domain_convergence,ineligible_evidence_used,inappropriate_unverified_use,ignored_true_contradiction,disabled_rules_present_but_excluded
p2b_0001,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_HOUSE_023
p2b_0001,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0002,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_TREE_024
p2b_0003,depressive_or_low_mood_related,R1_broad,False,False,True,False,False,EN_COMPILED_FACE_EXPRESSION_021
p2b_0005,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0012,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_TREE_024
p2b_0019,social_withdrawal_related,R1_broad,False,False,True,False,False,PSY_AR_CIRCLES_011
p2b_0019,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_HOUSE_023
p2b_0033,depressive_or_low_mood_related,R1_broad,False,False,True,False,False,EN_COMPILED_FACE_EXPRESSION_021
p2b_0061,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0068,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_ANIMAL_CHOICE_GENERAL_022;EN_COMPILED_HOUSE_023;EN_COMPILED_TREE_024
p2b_0068,neutral_descriptive_only_no_construct_proposed,R2_broad,True,False,True,False,False,EN_COMPILED_ANIMAL_CHOICE_GENERAL_022;EN_COMPILED_HOUSE_023;EN_COMPILED_TREE_024
p2b_0068,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0006,developmental_or_attention_related,R3,False,True,False,False,False,
p2b_0006,aggression_or_threat_related,R3,False,True,False,False,False,
p2b_0007,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0007,developmental_or_attention_related,R2_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0008,positive_affect_or_social_engagement,R1_broad,False,False,True,False,False,PSY_AR_HEARTS_013
p2b_0008,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0008,depressive_or_low_mood_related,R1_broad,False,False,True,False,False,EN_COMPILED_FACE_EXPRESSION_021
p2b_0009,developmental_or_attention_related,R3,False,True,False,False,False,
p2b_0009,aggression_or_threat_related,R3,False,True,False,False,False,
p2b_0011,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_HOUSE_023
p2b_0017,developmental_or_attention_related,R3,False,True,False,False,False,
p2b_0017,anxiety_or_stress_related,R3,False,True,False,False,False,
p2b_0017,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,PSY_AR_STARS_009
p2b_0018,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0022,neutral_descriptive_only_no_construct_proposed,R1_broad,False,False,True,False,False,EN_COMPILED_TREE_024
p2b_0022,neutral_descriptive_only_no_construct_proposed,R2_broad,False,False,True,False,False,EN_COMPILED_TREE_024
p2b_0023,positive_affect_or_social_engagement,R1_broad,False,False,True,False,False,PSY_AR_HEARTS_013
p2b_0023,developmental_or_attention_related,R1_broad,False,False,True,False,False,PSY_AR_GEOMETRY_008
p2b_0025,depressive_or_low_mood_related,R1_broad,False,False,True,False,False,EN_COMPILED_FACE_EXPRESSION_021
p2b_0028,social_withdrawal_related,R1_broad,False,False,True,False,False,PSY_AR_CIRCLES_011
p2b_0029,depressive_or_low_mood_related,R1_broad,False,False,True,False,False,EN_COMPILED_FACE_EXPRESSION_021
