rule_id,feature_id,current_threshold,source_status,rationale,sweep_value,n_triggered,n_total,pct_triggered,impact_on_individual_suggestions,impact_on_combined_hypotheses
PSY_AR_SIZE_SMALL_016,composition.bounding_box_coverage,<= 0.20,directly_sourced,The Arabic source states this percentage exactly ('لا تتجاوز 20%').,0.1,0,300,0.0,0 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_SMALL_016,composition.bounding_box_coverage,<= 0.20,directly_sourced,The Arabic source states this percentage exactly ('لا تتجاوز 20%').,0.15,0,300,0.0,0 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_SMALL_016,composition.bounding_box_coverage,<= 0.20,directly_sourced,The Arabic source states this percentage exactly ('لا تتجاوز 20%').,0.2,0,300,0.0,0 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_SMALL_016,composition.bounding_box_coverage,<= 0.20,directly_sourced,The Arabic source states this percentage exactly ('لا تتجاوز 20%').,0.25,0,300,0.0,0 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_SMALL_016,composition.bounding_box_coverage,<= 0.20,directly_sourced,The Arabic source states this percentage exactly ('لا تتجاوز 20%').,0.3,1,300,0.33,1 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_HALF_014,composition.bounding_box_coverage,0.40 <= x <= 0.60,source_centre_with_invented_band,Source states 'about 50%'; the +/-10 percentage-point band around that center is an implementation choice.,"(0.45, 0.55)",2,300,0.67,2 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_HALF_014,composition.bounding_box_coverage,0.40 <= x <= 0.60,source_centre_with_invented_band,Source states 'about 50%'; the +/-10 percentage-point band around that center is an implementation choice.,"(0.425, 0.575)",3,300,1.0,3 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_HALF_014,composition.bounding_box_coverage,0.40 <= x <= 0.60,source_centre_with_invented_band,Source states 'about 50%'; the +/-10 percentage-point band around that center is an implementation choice.,"(0.4, 0.6)",6,300,2.0,6 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_HALF_014,composition.bounding_box_coverage,0.40 <= x <= 0.60,source_centre_with_invented_band,Source states 'about 50%'; the +/-10 percentage-point band around that center is an implementation choice.,"(0.375, 0.625)",10,300,3.33,10 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_HALF_014,composition.bounding_box_coverage,0.40 <= x <= 0.60,source_centre_with_invented_band,Source states 'about 50%'; the +/-10 percentage-point band around that center is an implementation choice.,"(0.35, 0.65)",10,300,3.33,10 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_FULL_015,composition.bounding_box_coverage,>= 0.90,invented_operational_standin,Source says only 'covers the whole page' (no percentage); 0.90 is an invented numeric stand-in.,0.8,279,300,93.0,279 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_FULL_015,composition.bounding_box_coverage,>= 0.90,invented_operational_standin,Source says only 'covers the whole page' (no percentage); 0.90 is an invented numeric stand-in.,0.85,270,300,90.0,270 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_FULL_015,composition.bounding_box_coverage,>= 0.90,invented_operational_standin,Source says only 'covers the whole page' (no percentage); 0.90 is an invented numeric stand-in.,0.9,258,300,86.0,258 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_FULL_015,composition.bounding_box_coverage,>= 0.90,invented_operational_standin,Source says only 'covers the whole page' (no percentage); 0.90 is an invented numeric stand-in.,0.925,248,300,82.67,248 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_SIZE_FULL_015,composition.bounding_box_coverage,>= 0.90,invented_operational_standin,Source says only 'covers the whole page' (no percentage); 0.90 is an invented numeric stand-in.,0.95,232,300,77.33,232 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_PLACE_TOP_017,composition.centroid_normalized[1],cy < 0.40,invented_operational_standin,Source gives no numeric boundary for 'top' at all.,0.3,1,300,0.33,1 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_PLACE_TOP_017,composition.centroid_normalized[1],cy < 0.40,invented_operational_standin,Source gives no numeric boundary for 'top' at all.,0.35,3,300,1.0,3 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_PLACE_TOP_017,composition.centroid_normalized[1],cy < 0.40,invented_operational_standin,Source gives no numeric boundary for 'top' at all.,0.4,14,300,4.67,14 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
PSY_AR_PLACE_TOP_017,composition.centroid_normalized[1],cy < 0.40,invented_operational_standin,Source gives no numeric boundary for 'top' at all.,0.45,47,300,15.67,47 of 300 sampled images would produce a Level-B suggestion at this value.,"Negligible under the current Level A/B/C policy: no two of the 6 original executable rules ever share a target_construct, so none can combine with another registry rule; the only demonstrated Level-C convergence path requires the expressive-content model's independent contribution (see docs/AGGREGATION_POLICY.md)."
