source_entry_id,source_observable,source_family,source_reference,current_canonical_observable_id,proposed_canonical_observable_id,same_measurement_as_other_sources,merged_with_source_ids,merge_reason,kept_distinct_reason,evidence_family,review_status
PSY_AR_EYES_WIDE_001,Eyes: wide appearance,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,eyes_wide,eyes_wide,no,,,"Shares evidence family 'facial_feature_style' with entries from family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Eyes: wide appearance') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",facial_feature_style,KEPT_DISTINCT
PSY_AR_EYES_STERN_002,Eyes: stern/intense appearance,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,eyes_stern,eyes_stern,no,,,"Shares evidence family 'facial_feature_style' with entries from family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Eyes: stern/intense appearance') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",facial_feature_style,KEPT_DISTINCT
PSY_AR_EYES_CLOSED_003,Eyes: closed,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,eyes_closed,eyes_closed,no,,,"Shares evidence family 'facial_feature_style' with entries from family_drawing_2022_marker, htp_2023_meta_analysis, koppitz_hfd_indicator, new_objective_graphic_feature, but names a distinct, object/context-specific measurable concept ('Eyes: closed') -- not merged without verified measurement equivalence (see Step 2's own worked counter-examples).",facial_feature_style,KEPT_DISTINCT
PSY_AR_ANIMAL_TIGER_WOLF_004,tiger_or_wolf,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,tiger_or_wolf,tiger_or_wolf,no,,,"No entry from a different source family shares evidence family 'animal_symbolism' -- 'tiger_or_wolf' is inherently specific to existing_doar_rule, so no merge candidate exists.",animal_symbolism,SOURCE_SPECIFIC
PSY_AR_ANIMAL_FOX_005,fox,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,fox,fox,no,,,"No entry from a different source family shares evidence family 'animal_symbolism' -- 'fox' is inherently specific to existing_doar_rule, so no merge candidate exists.",animal_symbolism,SOURCE_SPECIFIC
PSY_AR_ANIMAL_SQUIRREL_006,squirrel,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,squirrel,squirrel,no,,,"No entry from a different source family shares evidence family 'animal_symbolism' -- 'squirrel' is inherently specific to existing_doar_rule, so no merge candidate exists.",animal_symbolism,SOURCE_SPECIFIC
PSY_AR_ANIMAL_LION_007,lion,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,lion,lion,no,,,"No entry from a different source family shares evidence family 'animal_symbolism' -- 'lion' is inherently specific to existing_doar_rule, so no merge candidate exists.",animal_symbolism,SOURCE_SPECIFIC
PSY_AR_GEOMETRY_008,repeated_geometric_shapes,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,repeated_geometric_shapes,repeated_geometric_shapes,no,,,"No entry from a different source family shares evidence family 'shape_symbolism' -- 'repeated_geometric_shapes' is inherently specific to existing_doar_rule, so no merge candidate exists.",shape_symbolism,SOURCE_SPECIFIC
PSY_AR_STARS_009,stars,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,stars,stars,no,,,"No entry from a different source family shares evidence family 'shape_symbolism' -- 'stars' is inherently specific to existing_doar_rule, so no merge candidate exists.",shape_symbolism,SOURCE_SPECIFIC
PSY_AR_FLOWERS_CLOUDS_SUN_010,flowers_clouds_sun,existing_doar_rule,DOAR rules_registry_v2.json / RULE_EVIDENCE_MATRIX.csv,flowers_clouds_sun,flowers_clouds_sun,no,,,requires_process_data=True -- 'flowers_clouds_sun' cannot be assessed from a single static image regardless of any evidence-family overlap.,shape_symbolism,PROCESS_ONLY
