rule_id,source_text,source_and_page,observable_clarity_1_4,interpretation_relevance_1_4,assessable_from_static_image_y_n,evidence_needed,construct_mapping_accepted_y_n,safe_for_parent_y_n,safe_wording_revision,comments
PSY_AR_EYES_WIDE_001,رسم العيون الواسعة يدل على الشخصية المنفتحة.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_EYES_STERN_002,رسم العيون الصارمة يدل على الشعور بالغضب.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_EYES_CLOSED_003,رسم العيون المغمضة يدل على رفض الشخص النظر إلى نفسه من الداخل ورفضه الاعتراف بعيوبه.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_ANIMAL_TIGER_WOLF_004,رسم النمر أو الذئب يدل على الشعور بالغضب.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_ANIMAL_FOX_005,رسم الثعلب يدل على أن الرسام كان يفكر في عمل أمر لئيم أو خبيث.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_ANIMAL_SQUIRREL_006,رسم السنجاب يشير إلى حاجة الرسام للحماية والاهتمام.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_ANIMAL_LION_007,رسم الأسد يشير إلى اعتقاد الشخص بأنه متفوق على الآخرين.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_GEOMETRY_008,حب رسم الأشكال الهندسية يشير إلى كثرة الأهداف والخطط والعناد والإصرار.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_STARS_009,رسم النجوم يشير إلى أن الشخص يريد أن يكون ملفتاً لنظر الجميع.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_FLOWERS_CLOUDS_SUN_010,رسم الزهور والسحب والشمس قد يعبر عن تخيل أهداف وأفكار جديدة وشخصية إيجابية ومزاج جيد.,"التحليل النفسي للصور.pdf, page 1",,,N,detector_or_context_absent:process_required,,,,
PSY_AR_CIRCLES_011,رسم الدوائر يعبر عن الشعور بالوحدة والحاجة إلى شخص قريب يقف بجانبه.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_TRANSPORT_012,رسم وسائل النقل يشير إلى حب السفر والعطلة والاجتماعية والانفتاح والمرح والمغامرة وحب الحياة.,"التحليل النفسي للصور.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_HEARTS_013,رسم القلوب يدل على شخصية عاطفية أو عاشقة واجتماعية ورومانسية لطيفة وقادرة على جذب قلوب الآخرين.,"التحليل النفسي للصور.pdf, page 2",,,Y,detector_or_context_absent:static_detector,,,,
PSY_AR_SIZE_HALF_014,إذا غطت الرسمة نحو 50% من الورقة فقد تدل على الانفتاح أحياناً والانطواء أحياناً أخرى.,"التحليل النفسي للصور.pdf, page 2",,,Y,none (already computed),,,,
PSY_AR_SIZE_FULL_015,إذا غطت الرسمة كل الورقة فهذا يدل على احترام الشخص العالي لنفسه وتقديره لها.,"التحليل النفسي للصور.pdf, page 2",,,Y,none (already computed),,,,
PSY_AR_SIZE_SMALL_016,إذا لم تتجاوز الرسمة 20% من الورقة فقد يدل ذلك على عدم الاستقرار أو الخوف.,"التحليل النفسي للصور.pdf, page 2",,,Y,none (already computed),,,,
PSY_AR_PLACE_TOP_017,الرسم في أعلى الصفحة قد يعبر عن شخصية حالمة أو واقع خيالي وصعوبة في التكيف.,"التحليل النفسي للصور.pdf, page 2",,,Y,none (already computed),,,,
PSY_AR_PLACE_LEFT_018,الرسم في الجانب الأيسر يدل على شخصية انطوائية.,"التحليل النفسي للصور.pdf, page 2",,,Y,none (already computed),,,,
PSY_AR_PLACE_RIGHT_019,الرسم في الجانب الأيمن يدل على شخصية منفتحة.,"التحليل النفسي للصور.pdf, page 2",,,Y,none (already computed),,,,
EN_COMPILED_EYES_MISSING_DETAIL_020,"Eyes with little detail or missing eyes: May suggest withdrawal, avoidance, low interest in contact, or simply limited drawing skill.","child_drawing_rules_compiled.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_FACE_EXPRESSION_021,"Face expression: Smiling can suggest positive tone; sad, tense, or frightened faces can suggest distress.","child_drawing_rules_compiled.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_ANIMAL_CHOICE_GENERAL_022,"Animal choice in general: Can reflect interests, story play, fear, identification, or a projective theme.","child_drawing_rules_compiled.pdf, page 1",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_HOUSE_023,"House: Sometimes discussed as family life, safety, privacy, or emotional openness, but not a reliable standalone test.","child_drawing_rules_compiled.pdf, page 2",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_TREE_024,"Tree: Sometimes used to think about stability, growth, roots, or vulnerability.","child_drawing_rules_compiled.pdf, page 2",,,Y,detector_or_context_absent:static_detector,,,,
EN_COMPILED_REPEATED_MONSTERS_DANGER_025,"Repeated monsters, danger, injury themes: May indicate fear, distress, or preoccupation with threat; needs careful follow-up.","child_drawing_rules_compiled.pdf, page 2",,,N,detector_or_context_absent:longitudinal_required,,,,
EN_COMPILED_VERY_SMALL_DRAWING_026,"Very small drawing: May suggest insecurity, withdrawal, fear, or low confidence; could also reflect carefulness or skill limits.","child_drawing_rules_compiled.pdf, page 2",,,N,detector_or_context_absent:not_operational,,,,
EN_COMPILED_REPEATED_FAMILY_CONFLICT_027,"Repeated family conflict scenes: May indicate tension, perceived conflict, or concern in the home.","child_drawing_rules_compiled.pdf, page 3",,,N,detector_or_context_absent:longitudinal_required,,,,
EN_COMPILED_REPEATED_ISOLATION_THEMES_028,Repeated isolation themes: May point to loneliness or withdrawal.,"child_drawing_rules_compiled.pdf, page 3",,,N,detector_or_context_absent:longitudinal_required,,,,
EN_COMPILED_PLACEMENT_CENTER_029,"Centering: Often read as balance, security, or comfort.","child_drawing_rules_compiled.pdf, page 2",,,Y,"composition.centroid_normalized (computed, not wired to any evaluator)",,,,
EN_COMPILED_LINE_HEAVY_PRESSURE_030,"Heavy pressure: May suggest tension, force, anger, or high energy.","child_drawing_rules_compiled.pdf, page 2",,,Y,"stroke.intensity_proxy (computed, not wired to any evaluator; proxy only)",,,,
