case_id,R1,R2,R3,R4,R5,disagrees_with_R4_on
h38,True,False,False,False,True,R1;R5
p2b_0001,True,False,True,False,True,R1;R3;R5
p2b_0002,True,False,False,False,False,R1
p2b_0003,True,False,False,False,True,R1;R5
p2b_0004,True,False,False,False,True,R1;R5
p2b_0005,True,False,True,False,True,R1;R3;R5
p2b_0012,True,False,False,False,False,R1
p2b_0019,True,False,False,False,True,R1;R5
p2b_0026,True,False,False,False,True,R1;R5
p2b_0033,True,False,False,False,True,R1;R5
p2b_0054,True,False,False,False,True,R1;R5
p2b_0061,True,False,False,False,True,R1;R5
p2b_0068,True,True,True,False,True,R1;R2;R3;R5
