case_id,strategy,any_domain_triggered,n_domains_triggered,triggered_domains,any_structural_violation,any_duplicate_inflation,any_cross_domain_convergence,any_ignored_contradiction,total_domains_considered
h38,R1,True,1,anxiety_or_stress_related,True,False,False,True,1
h38,R2,False,0,,False,False,False,False,1
h38,R3,False,0,,False,False,False,False,1
h38,R4,False,0,,False,False,False,False,1
h38,R5,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0001,R1,True,3,anxiety_or_stress_related;developmental_or_attention_related;neutral_descriptive_only_no_construct_proposed,True,False,False,True,3
p2b_0001,R2,False,0,,False,False,False,False,3
p2b_0001,R3,True,2,anxiety_or_stress_related;developmental_or_attention_related,True,False,True,True,3
p2b_0001,R4,False,0,,False,False,False,False,3
p2b_0001,R5,True,2,anxiety_or_stress_related;developmental_or_attention_related,True,False,False,True,3
p2b_0002,R1,True,1,neutral_descriptive_only_no_construct_proposed,True,False,False,False,1
p2b_0002,R2,False,0,,False,False,False,False,1
p2b_0002,R3,False,0,,False,False,False,False,1
p2b_0002,R4,False,0,,False,False,False,False,1
p2b_0002,R5,False,0,,False,False,False,False,1
p2b_0003,R1,True,1,depressive_or_low_mood_related,True,False,False,False,1
p2b_0003,R2,False,0,,False,False,False,False,1
p2b_0003,R3,False,0,,False,False,False,False,1
p2b_0003,R4,False,0,,False,False,False,False,1
p2b_0003,R5,True,1,depressive_or_low_mood_related,True,False,False,False,1
p2b_0004,R1,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0004,R2,False,0,,False,False,False,False,1
p2b_0004,R3,False,0,,False,False,False,False,1
p2b_0004,R4,False,0,,False,False,False,False,1
p2b_0004,R5,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0005,R1,True,2,aggression_or_threat_related;developmental_or_attention_related,True,False,False,True,2
p2b_0005,R2,False,0,,False,False,False,False,2
p2b_0005,R3,True,2,aggression_or_threat_related;developmental_or_attention_related,True,False,True,True,2
p2b_0005,R4,False,0,,False,False,False,False,2
p2b_0005,R5,True,1,developmental_or_attention_related,True,False,False,False,2
p2b_0012,R1,True,2,aggression_or_threat_related;neutral_descriptive_only_no_construct_proposed,True,False,False,True,2
p2b_0012,R2,False,0,,False,False,False,False,2
p2b_0012,R3,False,0,,False,False,False,False,2
p2b_0012,R4,False,0,,False,False,False,False,2
p2b_0012,R5,False,0,,False,False,False,False,2
p2b_0019,R1,True,2,neutral_descriptive_only_no_construct_proposed;social_withdrawal_related,True,False,False,False,2
p2b_0019,R2,False,0,,False,False,False,False,2
p2b_0019,R3,False,0,,False,False,False,False,2
p2b_0019,R4,False,0,,False,False,False,False,2
p2b_0019,R5,True,1,social_withdrawal_related,True,False,False,False,2
p2b_0026,R1,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0026,R2,False,0,,False,False,False,False,1
p2b_0026,R3,False,0,,False,False,False,False,1
p2b_0026,R4,False,0,,False,False,False,False,1
p2b_0026,R5,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0033,R1,True,1,depressive_or_low_mood_related,True,False,False,False,1
p2b_0033,R2,False,0,,False,False,False,False,1
p2b_0033,R3,False,0,,False,False,False,False,1
p2b_0033,R4,False,0,,False,False,False,False,1
p2b_0033,R5,True,1,depressive_or_low_mood_related,True,False,False,False,1
p2b_0040,R1,False,0,,False,False,False,False,0
p2b_0040,R2,False,0,,False,False,False,False,0
p2b_0040,R3,False,0,,False,False,False,False,0
p2b_0040,R4,False,0,,False,False,False,False,0
p2b_0040,R5,False,0,,False,False,False,False,0
p2b_0047,R1,False,0,,False,False,False,False,0
p2b_0047,R2,False,0,,False,False,False,False,0
p2b_0047,R3,False,0,,False,False,False,False,0
p2b_0047,R4,False,0,,False,False,False,False,0
p2b_0047,R5,False,0,,False,False,False,False,0
p2b_0054,R1,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0054,R2,False,0,,False,False,False,False,1
p2b_0054,R3,False,0,,False,False,False,False,1
p2b_0054,R4,False,0,,False,False,False,False,1
p2b_0054,R5,True,1,anxiety_or_stress_related,True,False,False,True,1
p2b_0061,R1,True,3,developmental_or_attention_related;neutral_descriptive_only;neutral_descriptive_only_no_construct_proposed,True,False,False,True,3
p2b_0061,R2,False,0,,False,False,False,False,3
p2b_0061,R3,False,0,,False,False,False,False,3
p2b_0061,R4,False,0,,False,False,False,False,3
p2b_0061,R5,True,1,developmental_or_attention_related,True,False,False,False,3
p2b_0068,R1,True,3,anxiety_or_stress_related;developmental_or_attention_related;neutral_descriptive_only_no_construct_proposed,True,False,False,True,3
p2b_0068,R2,True,1,neutral_descriptive_only_no_construct_proposed,True,True,False,False,3
p2b_0068,R3,True,2,anxiety_or_stress_related;developmental_or_attention_related,True,False,True,True,3
p2b_0068,R4,False,0,,False,False,False,False,3
p2b_0068,R5,True,2,anxiety_or_stress_related;developmental_or_attention_related,True,False,False,True,3
